Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230015;-;2;-;1;1;-;-;-;-;-;-;-
230020;-;-;2;1;1;-;-;-;2;2;1;1
230030;1;2;2;-;1;-;-;-;-;1;-;-
230040;-;-;-;-;-;-;-;-;-;-;1;-
230050;-;-;-;2;-;1;-;-;-;-;-;-
230060;-;-;-;-;-;-;-;-;-;-;1;-
230070;1;-;-;-;-;-;2;-;-;-;-;-
230075;1;-;1;-;1;-;-;3;-;1;-;-
230080;1;-;1;-;-;-;-;-;-;-;-;-
230090;-;1;-;-;-;-;-;-;-;-;-;-
230100;-;3;1;-;1;1;2;2;1;2;1;-
230110;-;-;1;-;5;1;2;2;2;2;2;1
230120;-;-;2;-;2;1;-;-;-;-;-;-
230125;-;-;-;3;1;-;-;-;-;-;-;-
230130;-;-;-;-;-;-;-;-;-;2;-;-
230150;-;-;-;1;-;-;-;1;-;-;1;-
230160;-;-;-;-;-;1;-;2;-;-;-;1
230170;-;-;-;-;1;-;1;-;-;-;1;-
230180;-;-;1;-;-;-;-;-;-;1;-;1
230185;-;1;-;1;-;1;1;-;-;-;-;-
230190;1;4;1;1;-;-;1;-;1;-;2;2
230195;-;-;-;-;-;-;1;-;-;-;-;-
230200;-;1;2;1;-;1;1;-;1;-;-;1
230205;-;-;2;1;1;-;-;-;-;-;-;-
230210;-;-;2;2;-;-;2;1;-;-;-;1
230220;1;1;1;-;1;2;1;1;-;1;1;1
230230;1;-;1;-;-;-;-;-;-;1;-;-
230240;-;2;1;3;3;-;3;1;-;2;1;1
230250;1;1;3;-;1;-;2;-;-;-;-;-
230260;-;1;1;-;1;1;-;1;1;-;1;3
230270;-;-;1;-;-;1;-;-;-;-;-;1
230280;7;2;1;1;2;-;1;1;3;-;2;1
230290;-;1;-;1;-;-;-;-;-;-;-;-
230300;1;-;-;-;-;-;-;1;-;-;-;-
230310;-;-;-;1;-;1;-;1;-;1;-;-
230320;1;-;1;-;1;-;-;-;1;-;1;1
230330;-;-;-;-;-;-;-;-;-;-;1;1
230340;-;-;-;-;-;-;-;-;-;-;-;1
230350;1;2;2;-;4;2;-;1;-;1;-;-
230360;-;1;-;1;-;-;-;1;1;-;-;-
230365;1;1;-;-;-;-;-;-;-;-;1;-
230370;8;4;7;7;2;2;4;4;4;5;3;9
230380;-;-;-;-;2;-;1;-;1;-;1;-
230390;-;-;-;2;-;-;-;1;-;-;1;-
230393;-;-;-;-;-;-;-;-;-;-;-;1
230400;-;2;-;-;-;1;-;1;-;2;-;-
230410;2;4;3;1;2;1;2;2;1;3;1;5
230420;2;3;3;1;-;3;2;1;3;4;4;-
230423;1;-;-;2;1;-;1;1;-;1;-;-
230425;-;-;1;1;-;-;1;-;-;-;-;-
