Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;1;1;2;-;-;-;-;-;1;-;4;1
230015;1;-;2;2;1;5;2;1;-;1;-;2
230020;4;4;3;-;6;2;4;7;6;5;1;3
230030;2;7;4;6;8;4;3;3;8;7;2;2
230040;2;2;-;2;-;-;-;-;-;4;3;1
230050;2;1;-;-;3;2;-;2;-;-;-;1
230060;-;1;1;1;-;1;-;1;1;-;-;-
230070;1;1;1;2;1;2;1;4;4;1;3;2
230075;2;4;3;3;-;4;1;4;1;2;2;1
230080;1;-;2;-;3;1;-;-;1;2;-;-
230090;1;1;1;-;1;3;-;1;1;-;-;-
230100;3;10;10;7;12;6;2;6;6;7;3;9
230110;5;2;4;8;6;7;8;6;6;5;7;4
230120;2;2;3;2;2;4;4;1;2;5;3;-
230125;2;-;-;1;-;-;1;-;2;1;1;-
230130;3;2;1;2;2;-;1;1;3;1;1;1
230140;2;-;-;1;1;-;2;-;2;2;2;-
230150;-;-;-;-;-;-;-;-;-;1;1;3
230160;1;2;-;2;-;1;2;2;3;-;2;2
230170;3;1;1;2;2;3;2;3;-;3;2;1
230180;3;-;-;-;1;1;1;-;-;1;-;1
230185;5;2;1;-;3;1;2;1;-;-;-;1
230190;5;2;6;4;8;6;4;4;6;13;7;2
230195;3;2;2;-;3;4;-;1;3;2;2;3
230200;-;1;1;2;4;2;5;1;1;5;2;1
230205;-;1;3;-;-;-;1;2;-;1;-;1
230210;4;1;6;2;2;5;1;5;3;3;-;3
230220;6;1;4;3;3;7;3;5;3;6;3;4
230230;3;1;-;-;1;3;3;2;1;1;1;2
230240;7;10;8;10;4;7;8;7;9;4;8;6
230250;1;1;3;6;4;5;6;4;6;5;5;2
230260;3;5;2;7;4;5;6;5;5;2;5;7
230270;4;3;4;1;3;3;3;1;3;3;4;-
230280;8;9;7;4;7;3;8;2;4;5;10;6
230290;2;4;3;-;1;-;4;1;3;3;2;2
230300;-;-;-;1;2;2;3;1;2;2;1;2
230310;2;-;2;2;4;1;4;-;3;-;2;1
230320;3;1;4;2;3;1;5;2;4;2;4;3
230330;2;3;1;-;1;4;2;1;-;1;-;2
230340;2;-;1;2;1;4;2;3;2;2;1;-
230350;8;7;5;5;3;11;10;4;5;9;7;15
230360;1;1;2;2;1;1;-;-;-;-;2;-
230365;1;1;3;-;2;-;1;-;2;-;-;1
230370;26;32;26;22;19;31;22;28;30;26;29;25
230380;2;2;1;3;4;2;6;2;1;2;3;2
230390;-;2;-;1;-;1;2;2;3;3;-;-
230393;-;1;-;-;1;-;1;2;-;-;2;1
230395;1;1;5;1;1;2;3;1;-;1;-;-
230400;-;-;-;5;1;1;4;2;3;2;4;2
230410;5;11;11;6;10;6;12;7;8;6;6;7
230420;19;7;8;12;8;10;14;6;13;10;10;13
230423;1;2;3;3;2;1;-;2;2;2;2;1
230425;3;-;3;2;1;2;2;1;4;-;1;1
230426;1;-;1;1;1;1;-;-;2;-;1;3
230427;-;1;-;-;2;-;1;-;2;1;-;-
230428;4;3;5;6;3;6;6;6;6;5;5;7
230430;2;2;3;1;-;1;4;2;3;1;3;3
230435;-;2;2;3;1;1;2;1;1;1;2;-
230440;261;219;283;253;249;239;240;275;280;227;250;252
230445;2;-;1;-;1;3;3;-;4;2;-;1
230450;-;-;-;1;-;-;1;-;-;1;1;1
230460;1;-;-;1;-;-;-;-;1;1;-;1
230465;1;2;-;1;1;-;-;1;3;1;4;1
230470;3;1;6;6;1;3;7;4;3;2;4;4
230480;1;-;-;-;1;-;2;-;2;2;-;1
230490;2;-;2;3;-;1;1;-;1;1;-;1
230495;3;1;1;3;1;3;2;1;4;3;1;4
230500;3;2;4;4;4;3;5;3;1;3;3;5
230510;-;-;-;2;-;-;1;-;1;-;1;2
230520;5;1;2;-;2;2;1;1;1;3;3;3
230523;5;6;4;6;2;7;3;5;3;2;-;7
230526;2;-;1;-;-;1;1;-;2;-;-;-
230530;5;2;2;2;4;-;1;-;3;2;1;3
230533;2;2;-;1;-;1;2;-;2;2;1;1
230535;-;-;1;3;1;-;5;2;2;3;1;1
230540;4;1;9;7;6;5;6;2;5;7;6;5
230550;11;6;14;8;13;7;14;14;9;5;14;7
230560;2;1;2;2;1;1;4;2;3;1;3;2
230565;1;1;2;1;1;2;2;1;2;1;2;-
230570;1;1;-;1;2;-;-;1;1;-;1;-
230580;3;7;10;7;3;4;3;3;4;4;4;2
230590;3;5;6;4;6;4;3;4;3;4;6;2
230600;-;2;1;2;3;-;-;1;-;1;2;2
230610;-;1;1;-;1;1;2;4;-;4;2;-
230620;1;1;2;-;1;1;1;1;1;1;-;2
230625;1;2;1;1;2;5;1;1;1;-;4;1
230630;4;3;8;7;3;5;2;6;1;4;4;7
230640;6;9;9;9;4;10;11;8;3;8;7;7
230650;-;-;-;2;1;1;2;1;1;-;2;5
230655;3;4;5;2;2;1;1;1;-;3;1;-
230660;2;3;1;2;2;3;-;-;2;6;1;2
230670;1;1;2;4;4;3;1;3;2;-;1;2
230680;-;2;1;-;2;1;-;1;-;-;1;2
230690;6;1;3;3;5;8;3;7;3;5;3;1
230700;4;2;5;2;5;3;3;2;3;2;2;2
230710;3;3;4;3;3;5;3;-;3;2;3;2
230720;2;1;-;1;2;-;1;-;-;1;1;1
230725;-;1;3;-;1;-;2;2;1;-;-;2
230730;19;22;33;22;30;24;34;20;17;24;24;38
230740;1;2;3;2;5;3;1;5;3;2;3;3
230750;3;4;6;2;3;4;5;2;5;6;3;5
230760;12;6;5;10;3;2;4;3;2;7;16;7
230763;3;1;1;2;2;4;-;-;-;2;1;-
230765;19;13;23;16;23;22;15;24;16;18;18;17
230770;8;4;13;5;9;13;14;11;8;15;6;7
230780;2;2;-;2;2;3;4;-;2;3;1;2
230790;-;1;2;1;-;-;1;1;1;-;1;5
230800;4;3;6;3;3;2;4;4;-;3;3;2
230810;1;2;4;2;1;5;3;5;3;3;4;5
230820;-;4;2;1;-;3;1;1;2;-;3;2
230830;2;3;2;5;3;6;-;2;4;1;2;1
230835;1;2;-;-;3;3;2;-;-;2;-;3
230837;2;1;1;2;-;1;-;1;2;3;-;1
230840;3;3;5;-;5;1;3;3;2;3;3;2
230850;3;5;2;7;5;1;3;6;5;4;7;2
230860;2;1;1;1;-;-;2;3;4;1;2;-
230870;6;6;10;2;13;5;6;2;5;9;4;9
230880;-;-;1;-;-;2;-;1;-;-;1;-
230890;2;-;1;-;1;1;3;-;2;2;2;-
230900;1;1;2;4;4;5;2;1;1;1;1;1
230910;1;2;1;1;-;2;-;-;-;-;-;1
230920;2;1;-;1;-;2;-;-;1;1;3;1
230930;1;1;7;3;6;3;5;2;3;3;3;4
230940;5;1;-;-;1;3;3;4;3;1;1;3
230945;-;2;1;-;-;4;-;2;4;2;2;1
230950;4;3;3;2;6;1;1;1;3;3;2;2
230960;6;3;1;3;9;6;7;2;5;3;3;5
230970;6;3;2;5;9;4;11;4;6;2;7;6
230980;2;1;1;1;-;-;2;-;-;-;1;1
230990;-;-;2;1;1;2;1;2;1;1;-;1
231000;-;-;1;1;1;1;-;1;1;1;-;2
231010;-;-;-;1;2;1;2;-;2;2;1;4
231020;2;3;3;3;8;2;9;5;2;2;4;2
231025;3;2;2;5;4;4;1;1;2;3;1;5
231030;6;1;2;2;3;4;3;2;4;1;1;-
231040;-;-;-;-;-;1;-;-;-;-;1;-
231050;5;1;8;1;8;5;4;4;6;6;7;4
231060;1;-;-;1;-;-;1;3;-;1;1;1
231070;4;1;2;4;5;2;5;4;2;-;4;2
231080;-;3;3;2;-;1;1;2;3;1;4;3
231085;2;-;5;5;4;1;2;3;1;2;6;1
231090;4;-;1;2;1;4;3;-;5;5;-;4
231095;-;-;1;1;1;2;-;1;-;1;-;2
231100;3;-;2;1;-;2;-;2;1;-;-;1
231110;1;1;2;-;-;-;1;3;1;1;1;2
231120;1;1;2;-;-;-;-;-;1;-;1;-
231123;1;1;1;1;2;-;-;-;-;1;-;-
231126;-;2;4;1;2;1;1;2;1;4;1;-
231130;9;8;6;7;3;5;3;5;4;9;3;8
231135;1;2;-;2;-;1;2;2;6;1;2;1
231140;10;5;9;4;10;6;5;9;4;10;9;11
231150;-;1;1;1;2;-;4;1;2;2;3;1
