Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;-;-;-;1;-;-;-;-;-;-
230015;-;-;-;-;-;-;-;-;-;1;-;-
230030;-;1;1;1;-;-;1;-;-;-;-;-
230050;-;-;1;-;-;-;-;-;-;-;-;-
230070;-;-;-;1;-;-;-;-;1;-;-;-
230110;-;-;1;-;1;1;-;-;-;-;-;-
230170;-;-;-;-;1;-;-;-;-;-;-;-
230190;-;1;-;-;1;1;-;-;-;1;2;1
230195;-;-;1;-;-;-;-;-;-;-;-;-
230200;-;-;1;-;-;-;-;-;1;-;-;-
230210;-;-;-;-;-;-;-;1;-;-;-;-
230230;1;-;-;-;1;-;-;-;-;-;-;-
230240;-;-;1;1;1;-;1;-;-;-;-;-
230250;-;1;-;-;1;-;-;-;-;-;-;-
230260;-;-;1;-;-;-;-;-;-;-;1;-
230270;-;-;-;-;-;-;1;-;-;-;-;-
230280;1;-;1;1;-;-;-;-;-;-;-;-
230290;1;-;-;-;-;-;-;-;-;-;-;-
230350;-;-;-;-;1;-;-;-;-;-;-;-
230365;-;-;-;-;-;-;1;-;-;-;-;-
230370;1;1;-;2;-;-;-;-;2;-;2;-
230380;-;-;-;-;-;-;-;1;-;-;-;-
230393;-;-;-;-;-;-;-;-;-;1;-;-
230400;-;1;1;-;-;-;-;-;-;-;-;-
230410;-;-;-;-;-;1;-;-;-;-;-;-
230420;-;1;1;-;1;1;-;1;-;1;-;-
230423;-;-;-;1;-;-;-;-;-;1;-;-
230425;-;-;1;1;-;-;-;-;-;-;-;-
230428;-;-;-;2;1;-;-;-;-;1;-;-
230435;-;1;-;-;-;-;-;-;-;-;-;-
230440;7;8;6;10;8;12;9;2;2;2;8;4
230445;-;1;-;-;-;-;-;-;-;-;-;-
230450;-;-;-;-;-;-;-;-;-;-;-;1
230470;-;-;2;-;-;-;-;-;1;-;-;-
230495;-;-;-;1;-;-;-;-;-;-;-;-
230523;1;-;-;1;-;1;-;-;-;-;-;-
230526;1;-;-;-;-;-;-;-;-;-;-;-
230535;-;-;-;-;-;-;-;1;-;-;-;-
230540;-;-;-;1;-;2;1;-;-;-;-;-
230550;-;-;-;-;-;-;-;-;-;-;1;1
230560;-;-;-;1;-;-;-;-;-;-;-;-
230570;1;-;-;-;-;-;-;-;-;-;-;-
230580;-;-;-;-;-;-;1;-;-;-;-;-
230590;-;-;-;-;-;-;-;-;1;-;-;-
230610;-;-;-;-;-;-;1;-;-;-;-;-
230620;-;-;-;-;-;1;-;-;-;-;-;-
230625;1;-;-;-;-;-;1;-;-;-;1;-
230630;1;-;2;-;-;-;-;-;1;-;-;-
230640;-;-;-;1;-;1;-;1;-;-;-;1
230655;-;1;-;-;1;-;-;-;-;-;-;-
230660;1;-;-;-;-;-;-;-;-;-;-;-
230670;-;-;-;-;-;-;-;-;-;-;1;-
230690;-;-;-;-;1;1;-;-;-;-;-;-
230700;-;-;-;-;-;-;1;-;-;-;-;-
230710;-;-;1;-;1;1;1;-;-;-;1;2
230730;2;1;-;3;2;1;1;-;1;-;-;1
230760;-;1;-;1;1;-;-;1;-;-;1;-
230765;-;-;1;1;2;1;-;-;-;2;2;-
230770;-;-;1;-;-;2;-;-;-;-;-;-
230800;-;-;-;-;-;1;-;-;1;-;-;-
230810;-;1;1;-;1;-;-;-;-;-;1;-
230830;-;-;-;-;-;-;-;-;-;-;1;-
230835;-;-;-;-;-;-;-;-;1;-;-;-
230840;-;-;2;-;-;-;-;-;-;-;-;-
230860;-;1;-;-;-;-;-;-;-;-;-;-
230930;1;1;-;-;-;-;-;-;1;-;-;-
230940;-;-;-;-;-;1;-;-;-;-;-;-
230950;-;-;-;-;-;-;1;-;-;-;-;-
230960;-;-;-;-;-;-;-;1;-;-;-;1
230970;-;-;-;1;-;-;-;-;-;1;-;-
231010;-;-;-;-;-;-;1;-;-;-;-;-
231025;-;-;-;-;-;-;1;-;-;-;-;-
231030;-;-;-;-;-;-;-;1;1;-;-;-
231060;1;-;-;-;-;-;-;-;-;-;-;-
231085;-;-;-;-;1;-;-;-;-;-;1;-
231100;-;-;-;-;-;1;-;-;-;-;-;-
231110;-;-;-;-;-;1;-;-;-;-;-;-
231130;-;-;-;-;-;-;-;-;2;-;1;-
231140;-;-;1;-;1;-;-;-;-;-;-;-
231150;-;1;-;-;-;-;-;1;-;-;-;-
231160;-;-;-;-;1;-;-;-;1;-;-;-
231170;-;-;1;-;-;-;1;-;-;-;-;1
231180;-;-;-;-;-;-;-;-;2;1;-;-
231195;-;-;-;-;-;-;1;-;-;-;-;-
231220;-;-;-;-;1;-;-;-;-;-;-;-
231210;-;-;-;1;-;-;-;-;-;-;-;1
231230;-;-;-;-;-;-;-;-;-;-;-;1
231270;-;-;-;1;-;-;-;-;-;-;-;-
231290;-;-;-;2;2;-;-;1;2;-;-;-
231310;-;-;1;-;-;-;-;-;-;-;-;-
231320;-;1;-;-;-;-;-;-;-;-;-;-
231330;-;-;-;2;-;-;-;1;1;-;-;-
231340;-;-;-;-;-;1;-;-;-;-;-;1
231360;-;-;-;-;1;-;-;-;-;-;-;-
231375;-;-;-;1;-;-;-;-;-;-;-;-
231380;1;-;-;-;-;-;-;-;-;-;-;-
231390;-;1;-;-;-;-;-;-;-;-;-;-
231400;-;1;-;-;1;1;-;-;-;-;-;-
231410;-;-;-;-;-;-;-;-;1;-;-;-
