Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;1;-;-;1;1;-;-;-;-;1;-;-
230015;-;2;1;-;-;1;-;-;-;-;-;-
230020;-;3;2;2;3;-;1;-;1;2;3;2
230030;2;3;2;2;-;1;-;-;2;-;2;3
230040;-;1;-;-;-;-;-;-;1;-;-;-
230050;-;-;-;-;-;-;1;-;-;-;-;-
230060;-;-;1;-;1;-;-;1;-;1;-;-
230070;-;-;2;1;-;-;-;-;1;-;2;-
230075;-;2;-;1;1;-;1;3;-;1;-;3
230080;1;-;-;1;-;-;-;-;-;-;-;1
230090;-;-;-;-;-;2;-;-;-;-;-;-
230100;1;-;1;1;1;3;3;1;2;5;2;1
230110;2;2;4;1;3;2;2;2;1;2;5;2
230120;1;-;1;-;-;2;1;1;1;3;-;-
230125;-;-;-;-;-;-;-;-;-;1;-;-
230130;-;-;-;1;-;-;-;-;-;-;-;-
230140;-;-;1;-;-;1;1;2;-;-;-;1
230150;-;1;-;-;-;1;-;1;-;-;-;-
230160;-;-;1;3;-;-;1;-;-;1;-;1
230170;-;1;2;-;1;-;3;2;1;-;1;1
230180;-;-;-;1;-;1;-;-;-;1;1;-
230185;-;-;2;1;-;1;-;-;-;1;-;2
230190;1;1;1;2;-;4;1;3;2;3;1;2
230195;-;-;2;-;-;1;1;1;-;-;-;-
230200;1;3;-;3;-;-;-;-;1;-;1;1
230210;1;-;2;-;3;2;2;2;-;1;1;1
230220;1;-;1;1;2;1;2;3;-;1;1;-
230230;-;-;1;2;-;2;1;-;-;1;1;1
230240;3;2;2;-;2;3;5;3;1;1;2;1
230250;2;2;3;-;-;-;2;2;1;2;1;1
230260;2;2;3;-;-;2;-;-;4;1;3;2
230270;2;2;1;1;-;1;1;-;3;-;1;2
230280;3;1;1;2;4;-;-;-;1;3;-;1
230290;2;-;-;1;1;1;-;1;-;-;-;-
230300;-;-;-;-;1;-;2;1;1;1;-;1
230310;-;-;4;1;-;1;1;1;-;-;-;-
230320;4;1;1;-;-;2;2;1;3;-;3;1
230330;-;2;1;-;1;1;1;-;1;-;-;1
230340;-;-;-;-;1;-;-;2;1;1;-;-
230350;-;2;1;1;2;5;5;3;3;1;3;3
