Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;2;4;2;1;1;-;4;-;1;5;3;-
230015;1;2;3;3;2;1;1;1;1;2;1;1
230020;8;7;7;7;10;7;7;9;4;3;3;7
230030;8;7;12;11;15;11;8;13;7;6;9;4
230040;1;1;3;4;2;2;3;4;2;2;4;2
230050;-;1;-;2;1;1;2;2;2;2;3;2
230060;2;2;2;1;3;1;2;4;-;1;3;1
230070;-;1;3;4;1;2;1;4;2;-;3;2
230075;7;6;5;9;5;9;4;4;4;6;5;7
230080;1;1;2;4;3;1;1;3;1;2;2;1
230090;2;3;-;3;2;2;2;3;2;3;2;-
230100;19;12;14;11;6;5;9;13;5;9;12;11
230110;4;3;8;9;9;9;8;10;9;8;9;11
230120;2;5;1;6;8;3;2;1;5;3;3;6
230125;2;1;2;7;3;3;3;4;2;1;3;3
230130;5;6;2;1;3;6;3;3;5;3;3;5
230140;-;3;4;3;2;3;2;1;2;4;1;2
230150;3;-;2;1;1;1;1;2;4;2;1;1
230160;3;5;7;2;6;2;4;5;5;1;3;3
230170;4;2;3;9;1;4;6;2;2;5;5;4
230180;4;2;1;2;4;2;2;2;1;-;2;-
230185;5;-;1;5;3;1;1;-;-;2;3;4
230190;10;5;8;6;12;10;5;8;7;5;7;14
230195;1;1;-;3;1;3;3;3;5;3;2;2
230200;2;6;1;6;3;4;-;3;1;3;4;1
230205;2;6;4;2;3;2;2;4;2;-;-;2
230210;4;5;2;6;12;4;6;9;4;3;6;3
230220;4;9;6;4;7;7;7;6;7;5;6;4
230230;3;-;7;3;7;2;4;5;7;-;1;3
230240;4;6;11;5;10;8;10;6;9;8;4;10
230250;3;7;4;6;6;10;7;5;8;6;6;7
230260;5;12;10;10;12;12;8;10;11;4;4;10
230270;8;5;2;6;2;2;2;6;5;8;6;2
230280;11;8;13;11;21;11;15;12;11;18;9;9
230290;2;5;3;4;5;2;2;-;5;4;2;2
230300;-;1;5;2;1;-;4;3;4;7;3;2
230310;2;2;1;-;2;-;3;1;5;1;2;3
230320;3;4;7;6;4;8;3;5;4;5;5;3
230330;4;-;3;6;3;4;2;3;4;2;2;1
230340;5;5;5;5;8;4;5;5;2;2;3;3
230350;14;9;13;19;16;8;12;12;9;9;12;12
230360;1;1;3;3;6;3;1;4;-;3;2;-
230365;-;-;-;2;3;1;3;3;5;3;3;1
230370;22;19;32;44;27;40;39;35;36;33;22;37
230380;8;5;4;6;9;3;3;2;3;3;2;4
230390;5;3;3;1;-;2;1;2;2;1;1;7
230393;2;-;1;1;2;2;-;2;-;-;1;-
230395;3;1;1;2;2;1;2;2;3;3;7;1
230400;2;1;4;-;5;-;1;3;2;-;3;2
230410;15;8;12;11;16;13;19;11;9;13;11;11
