Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230015;-;-;-;-;1;-;-;-;-;-;-;-
230020;-;-;-;1;-;-;1;1;1;-;-;-
230030;1;-;-;-;-;-;1;1;-;-;-;-
230040;-;1;-;-;-;-;1;-;-;-;-;-
230050;-;-;-;-;-;-;-;-;-;1;-;-
230060;-;-;-;1;-;-;-;-;-;-;-;-
230075;-;1;-;-;-;-;1;-;-;-;-;-
230080;-;-;-;-;-;-;-;1;-;-;-;-
230100;-;-;-;3;1;-;-;-;-;1;-;-
230110;-;-;1;-;1;-;-;1;2;-;3;-
230120;-;-;-;1;-;1;-;-;-;-;-;-
230125;-;1;-;-;-;-;-;-;-;-;-;-
230130;1;-;-;-;-;-;-;-;-;-;-;-
230140;-;1;-;-;-;-;-;-;-;-;-;-
230160;-;-;-;-;-;-;-;1;-;-;-;-
230170;-;1;-;-;1;-;-;-;-;-;-;-
230180;-;-;-;-;-;-;-;-;-;-;1;-
230185;-;-;-;-;-;1;-;-;-;-;-;1
230190;-;-;2;-;1;2;-;-;1;-;1;-
230195;-;-;-;-;1;-;1;-;1;-;1;-
230200;-;-;-;-;-;-;-;-;-;1;-;-
230210;-;-;1;-;-;1;-;-;-;-;-;2
230220;-;-;2;-;1;-;-;-;-;-;-;-
230230;-;-;-;-;1;-;-;-;-;-;-;-
230240;-;-;-;1;-;1;2;-;-;-;1;-
230250;1;-;-;-;-;-;-;-;1;-;1;-
230260;-;1;1;-;1;2;1;-;-;-;-;-
230270;-;-;-;-;-;-;1;-;1;1;1;-
230280;-;-;2;-;1;2;-;2;-;1;2;2
230300;-;-;-;-;-;-;1;-;2;-;-;-
230320;-;-;-;-;-;-;-;-;1;-;1;-
230330;-;1;-;-;-;-;-;-;-;-;-;-
230340;-;-;-;-;-;-;1;-;1;1;-;1
230350;-;1;-;1;-;1;-;1;-;2;-;1
230360;-;-;-;-;-;-;1;-;-;-;-;-
230370;1;4;5;3;3;2;6;2;2;5;1;-
230380;-;2;-;-;-;-;-;-;-;-;-;-
230390;-;-;-;-;-;-;-;1;-;-;-;-
230395;-;1;-;1;-;-;-;-;1;-;-;-
230400;-;-;1;-;-;-;1;1;-;-;-;-
230410;-;2;-;4;-;-;1;3;2;-;1;1
230420;-;-;-;-;-;-;2;-;1;2;1;-
230423;1;-;-;-;-;1;-;-;-;-;-;-
230425;-;-;-;1;-;-;1;-;-;-;-;-
230427;-;-;-;1;-;-;-;-;1;1;-;1
230428;-;-;-;-;1;-;1;-;-;-;-;-
230435;-;-;-;-;-;-;-;-;1;-;-;-
230440;30;25;60;61;47;32;35;31;16;16;13;14
230445;-;-;-;-;1;1;-;-;1;-;-;-
230450;-;-;-;-;-;-;-;-;1;-;-;-
230460;-;1;-;-;-;-;-;-;-;-;-;-
230465;-;-;-;-;-;-;-;-;-;-;-;1
230470;2;-;2;1;1;-;-;-;-;-;-;-
230490;1;-;-;-;-;-;-;1;-;-;-;-
230495;-;-;-;1;-;-;-;-;-;1;-;-
230500;-;-;-;-;1;2;1;-;-;-;1;-
230520;-;1;-;-;-;-;-;-;-;-;-;-
230523;-;1;2;-;-;-;-;-;1;-;-;-
230526;-;-;-;-;1;-;-;-;-;-;-;1
230530;-;-;1;-;-;-;1;1;-;2;-;1
230535;-;-;1;-;-;-;-;1;-;-;-;-
230540;3;2;-;2;1;1;1;1;-;1;2;-
230550;1;-;5;3;-;3;1;-;1;2;-;2
230560;-;-;-;-;2;-;-;-;-;-;-;-
230565;-;-;-;-;-;-;-;1;-;-;-;-
230580;-;-;1;-;-;1;-;1;1;-;1;1
230590;2;1;1;-;1;1;-;1;-;2;3;-
230625;2;-;-;1;-;-;-;-;1;-;-;-
230630;-;-;-;-;-;1;1;-;1;-;-;-
230640;1;-;-;-;-;-;-;1;-;-;1;-
230650;-;-;-;-;1;-;-;-;-;-;-;-
230655;-;-;-;1;-;-;-;-;-;-;-;-
230660;-;-;-;-;-;-;-;-;-;-;1;-
230670;-;-;-;-;1;-;-;-;-;-;-;-
230700;-;-;-;1;1;-;1;-;-;2;1;-
230710;-;1;-;1;-;1;-;-;-;-;-;1
230720;-;-;-;-;1;-;-;-;-;-;-;-
230730;1;-;1;1;2;1;5;-;1;1;-;1
230740;-;-;-;-;-;-;-;-;-;1;-;-
230750;-;-;-;-;-;-;1;-;-;-;-;-
230760;-;1;-;-;1;-;-;-;-;-;-;2
230763;-;1;-;-;-;-;-;1;-;-;-;-
230765;1;-;2;1;4;2;1;2;1;-;1;-
230770;3;-;-;2;4;3;-;1;2;1;2;-
230780;-;-;1;-;-;-;-;1;-;-;-;-
230790;1;-;-;-;1;-;-;-;-;-;-;-
230800;1;-;-;-;-;-;-;-;-;-;-;-
230810;-;-;-;-;-;1;-;-;-;1;2;4
230820;-;-;-;-;-;-;-;-;1;-;-;-
230830;1;-;-;1;-;-;1;-;1;-;-;-
230835;-;-;1;-;-;-;-;-;1;-;-;-
230837;-;-;1;-;-;-;-;-;-;-;-;-
230850;1;-;-;1;-;-;-;-;-;1;-;-
230860;2;-;-;-;-;-;-;-;-;-;-;-
230870;2;1;3;-;1;1;2;1;-;1;-;-
230910;-;-;-;-;-;-;-;-;-;-;1;-
230920;-;-;-;-;1;-;-;-;1;-;-;-
230930;1;-;-;1;-;1;-;1;1;-;1;1
230940;-;-;-;-;-;1;-;-;-;-;-;-
230950;1;1;-;-;-;-;-;1;-;1;-;-
230960;-;-;-;1;1;-;-;1;-;-;-;-
230970;2;2;-;2;3;-;3;-;2;-;-;1
230980;-;-;-;1;-;-;-;-;-;-;-;-
231000;-;-;-;-;-;-;-;-;1;-;-;-
231010;-;-;-;-;-;-;-;-;-;1;-;-
231020;-;-;-;-;-;-;-;-;-;1;-;-
231030;1;-;-;-;1;-;1;1;-;-;-;-
231050;-;-;-;-;-;-;-;-;-;1;2;-
231070;3;-;-;-;-;1;1;-;-;-;-;-
231085;-;-;1;1;1;-;-;-;-;-;-;-
231090;-;1;1;2;-;-;-;-;-;-;1;-
231100;-;1;-;-;-;-;-;1;-;-;-;-
231110;-;-;-;1;-;-;1;-;-;1;-;-
231120;1;-;1;-;-;-;-;-;-;-;-;-
231126;-;-;-;1;-;-;-;-;1;-;-;-
231130;-;3;1;-;3;2;1;2;3;1;-;-
231140;-;1;1;-;1;-;-;1;1;2;1;-
231150;-;-;-;-;-;-;-;1;-;1;-;-
231180;2;-;1;3;-;1;1;-;-;2;1;-
231190;-;-;-;-;1;-;-;-;-;-;-;-
231220;1;1;-;-;-;-;-;1;1;-;-;-
231200;-;-;-;-;-;-;-;1;-;-;-;-
231210;1;-;-;-;-;-;-;-;-;-;-;-
231230;-;-;1;-;2;-;2;-;1;-;2;1
231240;2;-;-;3;-;1;1;-;-;2;2;1
