Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230015;-;-;-;-;-;-;-;-;-;1;1;-
230020;-;-;1;-;-;1;-;-;2;-;1;-
230030;1;-;-;1;1;-;1;-;-;-;-;-
230050;-;-;1;-;-;-;-;-;-;-;-;-
230070;-;-;1;-;-;-;1;1;-;-;-;-
230075;-;-;-;1;1;1;-;-;-;-;-;2
230100;-;1;1;-;1;-;-;2;1;-;1;-
230110;1;-;1;2;-;1;-;-;-;1;-;1
230120;-;-;-;-;-;-;-;-;-;-;1;-
230125;-;-;-;-;-;-;-;-;1;-;-;-
230130;-;-;-;-;-;1;-;-;-;2;1;-
230140;-;-;1;-;-;-;-;-;-;1;-;-
230160;-;-;1;-;-;-;-;-;-;-;1;-
230170;-;1;-;1;-;-;-;-;-;-;-;-
230185;1;1;-;-;-;-;-;-;-;-;-;-
230190;-;1;-;1;-;1;2;-;-;-;-;-
230195;1;-;-;-;-;-;-;-;-;-;-;-
230200;-;-;-;-;1;-;-;-;1;-;-;-
230205;-;1;-;-;-;-;-;-;-;-;-;-
230210;-;-;1;-;-;1;-;-;-;1;-;1
230220;-;-;1;-;-;-;-;1;-;1;-;-
230230;-;1;-;-;-;-;-;-;-;1;-;-
230240;-;-;1;-;1;-;-;1;2;-;1;-
230250;1;-;-;1;1;-;-;1;-;1;1;-
230260;-;2;-;-;2;-;-;-;-;-;-;2
230270;-;-;-;-;-;-;-;-;1;-;-;-
230280;3;1;1;-;-;-;2;-;-;-;-;-
230290;-;-;1;-;-;1;-;-;1;-;-;-
230300;-;-;1;-;-;-;-;-;-;-;-;1
230310;-;-;1;-;-;-;1;1;1;-;-;-
230320;-;-;1;-;-;-;-;-;-;-;1;-
230330;-;-;-;-;-;-;-;-;-;1;-;-
230340;1;-;1;-;-;-;-;-;-;-;-;-
230350;1;-;-;1;-;1;-;-;-;-;-;-
230370;1;1;2;5;3;3;3;1;7;5;1;4
230380;-;-;-;-;1;-;1;-;-;1;-;-
230395;-;-;1;-;1;-;-;-;-;-;-;-
230400;-;1;-;-;-;-;-;-;-;-;-;-
230410;1;-;1;2;1;-;-;3;1;-;-;1
230420;-;1;3;-;1;1;-;3;1;-;1;1
230423;-;-;-;-;-;-;-;-;-;-;-;2
230425;1;-;-;-;-;1;1;-;1;-;-;1
230428;-;-;-;-;-;-;-;1;2;-;-;1
230430;-;-;1;1;1;-;-;-;1;1;1;-
230435;-;1;-;-;-;-;1;1;-;-;-;-
230440;48;22;32;32;26;30;23;27;34;36;39;36
230445;-;-;-;-;-;-;-;-;-;1;-;-
230460;-;-;-;-;-;-;-;-;-;-;-;1
230465;-;-;2;-;-;-;-;-;-;-;-;1
230470;-;-;-;1;-;-;-;-;-;1;2;-
230495;-;1;-;1;-;-;-;-;-;1;-;-
230500;-;-;-;1;-;-;-;-;-;1;-;-
230510;-;-;-;-;-;-;-;1;-;-;-;-
230520;1;-;-;-;-;-;-;-;-;-;-;1
230523;-;1;-;-;1;-;-;-;-;1;1;1
230530;-;-;-;-;-;-;-;-;1;-;-;-
230540;-;1;2;-;1;-;1;-;1;1;-;-
230550;-;-;1;-;3;-;-;1;1;2;2;-
230560;-;-;-;-;-;-;1;-;-;-;-;-
230565;-;-;-;-;1;-;-;-;-;-;-;-
230570;-;-;-;-;-;-;-;-;-;1;-;-
230580;-;1;-;-;-;-;1;-;2;1;1;-
230590;1;-;1;1;-;-;1;-;-;-;-;-
230600;-;-;-;-;1;-;-;-;-;1;-;-
230610;-;-;-;-;-;-;-;1;-;1;-;1
230625;-;-;1;1;1;-;2;-;-;-;-;1
230630;-;-;-;-;-;-;-;-;-;-;-;1
230640;-;-;1;1;-;1;-;-;-;1;1;-
230655;2;-;-;-;-;2;-;-;1;-;-;-
230690;1;1;-;-;-;-;-;-;1;-;-;-
230700;-;1;1;-;-;-;-;-;-;-;1;-
230710;-;1;-;-;-;-;-;-;1;-;-;1
230720;-;-;-;-;-;-;-;-;-;1;-;-
230725;-;-;-;-;-;-;-;-;1;1;-;1
230730;-;-;3;2;2;4;4;2;2;1;1;1
230740;1;-;-;-;-;1;-;-;-;-;-;-
230750;-;-;-;1;-;-;1;1;1;-;-;-
230760;-;-;-;-;-;-;1;-;-;-;1;-
230763;-;1;-;-;-;-;1;-;-;1;-;-
230765;-;1;-;-;2;-;1;3;1;5;1;3
230770;2;2;-;2;-;-;1;2;2;1;-;1
230780;1;1;-;-;-;-;-;-;-;-;1;-
230790;-;-;-;-;-;-;1;-;-;-;-;-
230800;-;-;-;-;-;1;-;-;-;-;-;-
230810;-;-;1;-;-;1;-;-;-;1;-;-
230820;-;-;-;-;-;-;-;-;-;1;-;-
230830;1;1;-;-;-;-;-;1;-;-;-;-
230835;-;-;1;-;-;-;-;-;-;-;-;-
230837;-;-;-;-;-;1;-;-;-;-;-;-
230840;-;-;-;-;-;-;-;1;-;-;-;-
230850;-;-;-;-;-;-;-;-;2;-;-;-
230860;-;-;1;-;-;-;-;-;-;-;-;1
230870;1;1;-;-;-;1;-;-;1;1;-;-
230880;-;-;-;-;1;-;-;-;-;-;-;-
230900;-;-;1;-;-;-;-;-;-;-;-;-
230910;-;-;1;1;-;-;-;-;-;-;-;-
230930;-;-;-;-;-;1;1;1;-;-;-;-
230940;-;-;-;1;-;1;-;1;-;-;-;-
230945;1;-;-;1;1;-;-;1;-;-;-;-
230950;-;-;-;-;1;-;-;-;-;-;-;-
230960;2;-;1;-;1;-;-;-;-;-;-;-
230970;-;-;1;-;1;1;1;-;-;1;-;-
230980;-;1;-;-;-;-;-;-;-;-;-;-
230990;-;-;1;-;-;-;-;-;1;-;-;-
231000;-;-;-;-;-;-;-;1;-;-;-;-
231010;-;-;-;-;-;1;-;-;-;-;-;-
231020;-;-;1;-;-;-;-;-;-;-;-;-
231025;-;-;1;-;1;-;-;-;-;-;1;-
231030;-;-;-;-;-;1;-;-;1;-;-;-
231040;-;-;-;-;1;-;-;-;-;-;-;-
231050;-;-;-;-;-;-;-;-;-;1;-;1
231070;-;1;-;-;-;-;-;-;-;-;-;-
231095;-;-;-;-;-;-;-;-;-;-;1;-
231126;1;-;-;-;1;1;-;-;-;-;-;-
231130;1;1;-;1;-;1;-;-;5;-;-;-
231135;-;1;1;-;-;-;-;-;-;-;-;-
231140;1;-;-;-;-;1;1;1;-;-;-;-
231150;-;-;-;-;-;-;1;-;-;-;-;-
231170;-;1;-;-;-;-;-;-;-;-;-;-
231180;1;1;1;-;1;-;-;-;2;-;1;-
231190;-;-;-;-;-;-;-;1;-;-;-;-
231220;-;-;-;-;1;-;-;-;1;-;-;2
231200;1;-;2;-;-;-;1;-;-;-;1;-
231230;1;-;1;-;-;-;1;-;2;-;1;1
231240;2;-;-;-;-;-;-;1;-;1;-;-
231250;-;-;1;-;-;-;-;-;-;1;-;-
231260;-;1;-;-;1;-;-;-;-;-;-;-
231270;1;-;-;2;-;-;-;-;1;-;-;-
231280;-;-;-;-;-;-;-;-;-;-;-;1
231290;3;2;2;2;1;2;-;1;1;2;4;2
231300;-;-;-;-;-;-;-;1;-;-;-;-
231310;-;-;2;-;-;-;1;-;1;1;1;-
231320;-;-;-;-;-;-;-;-;-;-;3;-
231325;-;-;-;-;-;-;1;-;-;-;-;-
231330;-;-;1;2;-;2;-;1;-;-;-;-
231335;-;-;-;1;-;-;-;-;-;-;-;-
231340;-;-;-;-;-;-;-;1;1;2;-;-
231350;-;-;-;1;-;-;-;-;-;1;-;-
231355;-;-;-;1;-;-;-;-;-;1;-;-
231360;-;-;-;-;1;2;-;-;-;1;1;-
231375;-;2;-;-;-;-;-;1;1;-;-;-
231380;-;-;-;1;-;-;-;-;-;-;-;-
