Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;-;-;-;1;2;2;-;-;-;-
230015;1;-;1;-;1;1;-;1;-;1;1;1
230020;4;1;1;4;5;3;1;3;3;3;-;2
230030;2;-;1;2;5;4;2;2;2;2;3;5
230040;-;-;-;-;2;-;-;-;-;2;-;-
230050;1;-;-;1;2;1;-;-;-;-;2;1
230060;1;1;-;2;-;-;1;-;1;1;-;-
230070;-;-;-;1;2;2;-;-;1;1;2;-
230075;2;-;1;-;-;3;2;1;1;-;1;1
230080;-;-;-;1;-;3;-;1;-;1;-;-
230090;-;-;1;4;5;2;-;2;-;1;-;1
230100;2;3;5;5;1;4;3;2;2;4;3;4
230110;1;5;5;4;5;4;6;4;3;6;4;1
230120;2;2;-;1;6;3;1;-;-;1;1;1
230125;1;1;3;1;1;-;2;2;-;1;-;-
230130;-;1;-;-;-;2;-;1;4;-;1;-
230140;-;-;-;-;2;1;-;-;-;-;-;-
230150;1;1;1;1;-;-;-;-;-;-;-;1
230160;3;1;-;2;2;1;1;2;-;-;2;2
230170;1;-;2;1;1;-;4;2;1;2;-;3
230180;-;-;-;-;1;-;-;-;-;-;-;-
230185;1;1;1;1;5;-;1;1;2;2;-;2
230190;5;3;4;4;6;-;3;4;2;5;2;1
230195;-;-;1;-;1;-;1;-;-;-;1;1
230200;-;2;-;3;3;1;2;1;1;1;3;-
230205;-;-;3;2;3;1;2;-;-;-;1;1
230210;2;2;2;1;2;1;1;-;-;-;1;-
230220;1;1;3;3;6;2;2;4;-;2;2;7
230230;1;2;-;-;1;2;1;-;1;-;-;2
230240;2;1;2;5;5;2;5;2;4;3;1;1
230250;2;1;-;1;1;4;1;4;3;-;-;3
230260;2;4;1;4;5;-;3;1;-;1;1;6
230270;-;3;-;2;-;3;2;4;1;1;-;2
230280;2;3;2;5;8;6;6;4;3;3;1;5
230290;-;1;-;2;1;-;3;-;-;-;-;2
230300;-;1;1;3;5;1;-;1;-;-;2;1
230310;1;-;4;2;1;-;-;1;1;1;2;-
230320;1;1;1;2;1;1;1;3;-;1;2;1
230330;1;-;-;1;2;3;1;3;1;-;2;1
230340;-;1;-;3;3;1;1;-;1;-;-;-
230350;5;3;6;5;9;3;4;5;2;4;2;1
230360;1;-;-;-;-;1;1;-;-;1;-;1
230365;-;-;-;-;-;-;1;-;2;-;-;1
230370;11;16;15;28;23;19;14;9;17;13;14;7
230380;2;2;1;1;4;1;1;1;1;1;3;3
230390;2;1;-;3;-;-;-;-;-;1;-;-
230393;1;-;1;-;-;1;1;-;-;1;-;1
230395;1;-;1;2;1;-;2;-;1;-;-;2
230400;1;2;1;1;1;1;-;1;-;2;1;4
230410;6;3;2;5;9;1;5;9;8;2;5;5
