Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230015;-;-;1;-;-;1;1;-;-;-;1;1
230020;-;-;2;1;3;-;2;2;-;-;3;2
230030;1;-;1;1;-;-;-;1;-;1;-;-
230040;1;-;3;-;-;1;-;-;-;-;1;-
230050;-;2;1;-;-;-;-;1;-;1;-;2
230060;-;-;1;-;-;-;-;-;-;-;-;-
230070;-;-;-;1;-;1;2;-;1;-;-;2
230075;-;2;-;2;-;1;-;-;-;-;1;1
230080;1;-;1;1;-;-;-;-;-;-;-;-
230090;-;-;-;-;-;-;-;1;-;-;-;-
230100;2;-;-;-;-;-;-;1;-;-;2;1
230110;1;1;3;4;1;2;3;1;-;-;1;1
230120;-;3;1;-;-;-;2;-;-;1;1;-
230125;-;-;1;-;-;1;-;-;-;-;-;1
230130;-;-;-;-;-;-;-;-;-;-;-;1
230140;-;-;-;-;-;-;1;-;1;-;1;-
230150;1;-;-;-;-;-;-;-;-;-;-;-
230160;-;1;-;-;-;-;1;1;-;-;1;-
230170;-;1;-;-;1;2;1;-;-;-;3;2
230185;-;-;-;-;2;-;-;-;-;-;1;-
230190;1;-;3;-;4;1;3;1;4;2;2;1
230195;-;1;1;-;-;-;1;-;-;-;-;2
230200;-;-;-;1;1;2;-;-;-;-;1;1
230205;-;-;-;-;-;-;-;-;1;-;-;-
230210;-;-;-;1;1;-;1;2;1;-;1;-
230220;-;2;1;3;1;1;-;-;-;-;2;-
230230;-;-;1;-;-;2;-;-;-;-;-;1
230240;-;-;-;1;-;-;-;-;1;-;2;-
230250;2;1;-;1;1;-;-;3;1;-;-;3
230260;3;1;1;-;3;3;1;-;3;-;3;1
230270;1;-;-;-;1;3;2;-;1;-;2;-
230280;2;2;2;2;-;1;1;1;3;-;1;2
230290;1;-;-;-;-;1;-;-;-;-;-;-
230300;-;-;-;-;-;1;-;-;-;-;-;1
230310;-;-;1;1;-;-;1;1;1;-;-;-
230320;1;1;2;1;-;1;-;4;1;1;1;1
230330;-;-;2;2;1;-;-;1;-;2;-;-
230340;1;-;-;-;-;-;1;-;-;-;-;-
230350;1;3;3;1;-;3;2;3;-;1;1;-
230360;-;-;-;-;1;-;-;-;1;-;-;-
230365;-;1;-;-;-;-;-;-;-;-;-;1
230370;5;2;5;4;5;2;5;1;2;5;5;2
230380;-;-;2;-;1;-;1;1;-;-;1;-
230390;-;-;-;2;1;-;-;-;-;-;-;2
230395;-;-;-;-;-;1;-;-;-;-;-;-
230400;-;1;-;-;-;2;1;1;2;-;2;-
230410;1;1;-;6;2;2;1;2;1;-;-;-
230420;4;5;5;5;2;-;2;2;5;4;3;-
230423;-;-;-;-;-;2;-;-;-;1;-;-
230425;-;1;-;2;1;-;-;2;-;-;-;1
230426;-;-;1;-;-;-;-;-;-;-;-;-
230428;-;-;-;2;3;-;2;2;1;-;2;-
230430;1;-;-;-;-;-;1;-;-;-;-;-
230435;-;-;1;1;-;-;-;-;-;1;-;-
230440;55;44;60;55;56;50;57;40;45;43;44;54
230445;-;-;-;-;1;-;-;-;-;-;-;1
230450;-;1;-;-;-;-;-;1;-;-;-;-
230460;-;-;-;-;1;-;-;-;-;-;-;1
