Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230075;-;-;-;-;-;1;-;-;-;-;-;1
230100;-;1;-;-;-;-;-;-;-;-;-;-
230110;-;-;-;-;-;-;-;-;-;1;-;-
230120;-;-;-;-;-;-;-;-;1;-;-;-
230125;-;-;-;-;-;-;-;-;-;1;-;-
230140;-;-;-;-;-;-;-;-;-;1;-;-
230190;-;-;-;-;-;-;-;-;1;-;1;-
230260;1;-;-;-;-;-;2;1;-;-;-;-
230310;-;-;-;-;-;-;-;-;-;1;-;-
230330;-;-;1;-;-;-;-;-;-;-;-;-
230370;-;-;-;-;-;-;-;-;1;-;-;-
230380;-;-;-;-;-;-;-;1;-;-;-;-
230420;-;-;-;-;-;-;-;1;-;-;-;1
230428;-;-;-;-;-;-;-;-;-;-;1;-
230430;-;-;-;-;-;-;-;-;-;-;1;-
230440;3;5;7;4;2;5;4;5;6;3;3;2
230495;-;-;-;-;-;-;-;-;-;1;-;-
230510;-;1;-;-;-;-;-;-;-;-;-;-
230523;-;-;-;-;-;-;-;-;2;-;-;-
230530;-;-;-;-;-;-;-;-;-;-;1;-
230540;1;-;-;-;-;-;-;-;-;-;-;-
230550;-;-;1;-;1;1;1;-;-;-;1;-
230590;1;-;1;-;-;-;-;-;-;1;-;-
230640;-;1;-;-;-;-;-;-;-;-;-;-
230650;-;-;-;-;-;-;-;-;-;1;-;-
230660;-;1;-;-;-;-;1;-;-;-;-;-
230700;-;-;-;-;-;-;-;-;-;1;-;-
230710;-;-;-;-;-;-;-;-;-;-;-;1
230730;-;-;-;-;-;-;-;-;-;-;1;-
230760;-;-;-;-;1;-;1;-;-;-;-;-
230765;-;-;-;-;-;-;1;-;-;-;-;-
230770;-;1;-;-;1;-;-;-;-;-;-;-
230800;-;-;1;-;-;-;-;-;-;-;-;-
230810;-;-;-;-;-;-;-;-;-;1;-;2
230820;-;-;-;-;-;-;-;-;-;-;1;-
230830;-;-;-;1;-;-;-;-;-;-;-;-
230870;-;-;-;-;-;-;1;-;-;-;-;-
230880;-;-;-;1;-;-;-;-;-;-;-;-
230945;-;-;-;1;-;-;-;-;-;-;-;-
230960;-;-;-;1;-;-;-;-;-;-;-;-
231020;-;-;-;-;1;1;-;-;-;-;-;-
231030;-;-;-;-;1;-;-;-;-;-;-;-
231040;-;1;-;-;-;-;-;-;-;-;-;-
231050;-;1;-;-;-;-;-;-;-;-;-;-
231080;-;-;-;-;1;-;-;1;-;-;-;-
231090;-;-;-;-;-;-;-;-;1;-;-;-
231100;-;-;-;1;-;-;-;-;-;-;-;-
231130;-;-;-;-;1;-;-;-;-;1;-;1
231140;-;-;-;1;-;-;-;-;-;-;-;-
231220;-;-;-;-;1;-;-;-;-;-;-;-
231230;-;-;-;-;-;-;-;-;-;1;-;-
231290;-;-;-;1;-;-;-;-;-;-;-;-
231300;-;-;-;-;1;-;-;-;-;-;-;-
231330;-;-;-;-;-;-;-;1;-;-;-;-
231360;-;-;-;-;1;-;-;-;-;-;-;-
231375;-;-;-;-;-;-;-;-;-;1;-;-
231395;1;-;-;1;-;-;-;-;-;-;-;-
231400;-;-;-;1;-;-;-;-;1;-;-;-
231410;-;-;-;-;1;-;-;-;-;-;-;-
