Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230020;-;-;-;-;1;-;-;-;-;-;-;-
230030;-;1;-;-;-;-;-;-;-;-;-;-
230060;-;-;-;-;-;-;-;-;1;-;-;-
230070;1;-;-;-;-;-;-;-;-;-;-;-
230090;-;-;-;-;-;-;-;-;-;-;-;1
230110;-;-;-;1;2;1;2;-;1;-;-;-
230130;-;-;-;-;-;-;-;1;-;-;-;-
230140;1;-;-;-;-;-;1;-;-;-;-;-
230160;-;-;-;-;-;-;-;-;-;-;1;-
230185;-;-;-;-;-;-;1;-;-;-;-;-
230190;-;-;-;-;-;-;-;-;2;-;-;1
230200;-;2;-;-;-;-;-;-;-;-;-;-
230210;-;-;-;-;-;-;-;-;1;-;-;-
230220;-;-;1;-;-;1;1;-;-;-;-;1
230240;-;-;-;1;-;-;1;-;1;-;-;-
230250;-;-;-;-;-;-;1;-;-;-;-;-
230280;-;-;-;-;1;-;-;1;-;-;-;-
230300;-;-;-;1;-;-;-;-;-;-;-;-
230320;-;-;1;2;-;-;-;-;-;-;-;1
230330;1;-;-;-;-;-;-;-;-;-;-;-
230340;-;-;-;-;-;-;-;-;1;-;-;-
230350;-;-;-;-;-;-;1;-;-;-;-;-
230365;-;-;-;-;-;-;1;-;-;-;-;-
230370;1;-;2;1;1;1;5;-;4;-;1;-
230400;-;-;-;-;-;-;-;-;-;1;-;1
230410;-;1;-;1;-;1;1;2;7;8;4;5
230420;-;-;-;-;-;2;-;-;-;1;-;-
230428;-;-;-;-;1;1;-;-;-;-;-;1
230435;-;-;-;-;-;1;-;-;-;-;-;-
230440;16;9;8;11;12;8;7;10;7;6;10;7
230465;-;-;1;-;-;-;-;-;-;-;-;-
230470;-;-;-;-;-;-;1;-;-;-;-;-
230490;-;-;-;1;-;1;-;-;-;-;1;-
230520;1;-;-;-;-;-;-;-;-;-;-;-
230523;-;-;-;-;-;1;1;1;-;-;-;-
230533;-;-;-;-;-;-;-;-;-;1;-;-
230540;-;-;1;-;-;-;-;-;-;-;-;-
230565;-;-;-;1;-;-;-;1;-;-;-;-
230570;-;1;-;-;-;-;-;-;-;-;-;-
230600;-;-;-;-;-;-;-;-;-;-;1;1
230610;-;-;-;-;1;-;-;-;-;-;1;-
230630;-;-;-;1;-;-;-;-;-;-;-;-
230640;-;1;-;-;-;-;-;-;-;-;1;1
230660;-;-;-;1;-;-;-;-;-;-;-;-
230690;-;-;-;-;1;-;-;-;-;-;-;-
230700;-;-;-;-;-;-;-;-;-;1;-;-
230725;-;-;2;-;-;-;-;-;-;-;-;1
230730;1;-;-;-;-;1;-;-;-;2;-;-
230740;-;-;-;-;-;-;-;-;1;-;-;-
230760;-;-;-;-;2;-;-;-;-;-;-;-
230763;-;-;-;-;-;-;-;-;-;1;-;-
230765;1;-;1;1;1;1;1;-;1;-;-;1
230770;-;-;-;-;-;-;-;-;-;-;-;1
230780;-;-;-;-;1;-;-;1;-;-;-;-
230810;-;-;-;-;-;-;-;-;-;1;-;-
230820;-;-;-;-;1;-;-;-;-;-;-;-
230840;-;1;-;-;-;-;-;-;-;-;-;-
230860;1;-;-;-;-;-;-;-;-;-;-;-
230870;-;-;-;-;1;-;-;-;-;-;-;-
230900;-;-;1;-;-;-;-;-;-;-;-;-
230930;-;-;-;-;-;-;-;-;-;-;-;2
230950;1;-;-;1;-;1;-;-;-;-;-;-
230960;-;-;-;-;-;-;-;-;-;1;-;-
230970;-;1;-;1;-;-;1;1;-;-;-;-
230980;-;-;-;-;-;-;-;-;-;-;1;-
231010;-;-;-;-;-;-;-;-;-;-;-;1
231020;-;-;-;-;2;-;-;-;1;-;-;-
231030;-;-;-;-;-;-;-;2;-;-;-;-
231040;-;-;-;-;-;-;1;-;-;-;-;-
231050;-;-;1;-;-;-;-;-;-;1;2;-
231085;-;-;-;-;-;-;1;-;-;-;-;-
231090;-;1;-;-;-;-;-;-;-;-;-;-
231110;-;-;-;-;-;-;-;-;-;-;-;1
231126;-;-;1;-;-;-;-;-;1;-;-;1
231140;2;1;2;-;-;-;1;1;-;-;2;-
231150;1;-;-;-;-;-;-;-;-;-;-;-
231170;-;-;1;-;-;-;-;-;-;-;-;-
231180;-;-;-;-;-;-;-;-;1;-;-;-
231190;-;-;-;1;-;1;2;-;-;-;1;-
231200;-;1;-;-;-;-;-;-;-;-;-;-
231210;1;-;-;-;-;-;-;-;-;-;-;-
231230;-;-;-;-;-;-;-;-;-;-;-;1
231240;-;-;-;-;-;-;-;-;-;-;1;-
231290;2;-;2;1;2;2;4;-;1;-;2;-
231300;-;-;-;-;-;-;-;-;1;-;-;-
231330;-;-;-;-;-;-;-;-;1;1;-;-
231340;-;-;-;-;-;2;-;1;1;-;-;-
231360;-;-;-;-;-;-;1;-;-;-;1;-
231375;-;-;-;-;-;-;-;-;-;-;-;1
231395;-;2;-;-;-;-;-;-;-;1;-;-
231410;-;-;-;-;-;-;1;-;1;-;-;-
