Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;-;-;-;-;-;-;-;-;-;1
230015;1;-;-;-;-;-;-;-;-;-;-;-
230020;-;-;-;-;-;-;-;1;-;1;1;1
230030;1;1;-;-;1;2;-;-;-;1;-;-
230050;-;1;-;1;-;-;-;-;-;-;-;-
230070;-;-;-;-;1;-;-;-;-;-;-;-
230075;-;-;-;-;1;2;-;-;-;-;-;-
230080;-;-;-;-;1;-;-;-;-;-;-;1
230090;-;-;-;1;-;-;-;-;-;-;-;-
230100;-;-;-;1;1;-;-;1;-;-;-;-
230110;1;1;-;-;-;-;-;-;-;1;-;1
230120;-;-;-;-;-;-;1;-;1;2;1;1
230130;-;-;-;-;-;-;-;-;1;-;-;1
230140;-;-;-;1;-;-;-;-;-;-;-;-
230160;-;-;-;1;-;-;-;-;-;-;-;-
230170;-;-;1;-;-;-;-;-;-;1;-;1
230185;-;-;-;-;-;-;1;-;-;-;-;-
230190;-;1;1;2;-;-;-;-;-;2;-;2
230195;-;-;-;-;-;-;1;-;-;-;1;-
230200;-;-;1;-;2;1;-;-;-;-;-;1
230205;-;-;-;-;-;-;-;-;-;-;1;-
230210;1;-;-;-;-;-;-;-;-;-;-;-
230220;-;1;-;-;-;1;-;-;1;-;-;-
230230;-;-;1;-;1;-;-;-;-;-;-;-
230240;-;-;1;-;-;-;-;-;-;-;1;-
230250;1;-;-;1;1;3;-;-;2;1;-;1
230260;-;-;-;1;-;-;-;-;1;1;-;2
230270;-;-;1;-;1;-;-;-;-;-;-;-
230280;2;1;3;-;1;2;1;-;1;5;1;1
230300;-;-;-;-;-;-;-;-;-;1;-;-
230310;-;-;1;-;-;-;-;1;-;-;-;1
230320;-;-;-;-;1;1;1;-;-;-;-;2
230330;-;-;-;-;-;-;-;-;1;-;-;-
230340;-;-;-;-;-;-;-;-;-;-;1;-
230350;-;1;-;1;3;1;1;-;-;2;-;-
230360;-;-;-;-;-;-;-;-;-;-;-;1
230365;-;-;-;-;-;-;-;-;-;-;-;1
230370;1;1;2;3;2;2;2;2;-;4;3;5
230380;-;-;-;1;-;-;-;-;1;1;-;-
230390;1;-;-;-;-;-;-;-;-;-;-;1
230395;-;-;1;1;-;-;-;-;1;-;-;-
230410;-;-;2;-;-;-;2;1;1;2;1;1
230420;1;2;3;1;2;-;-;-;-;3;2;2
230423;-;1;-;-;-;-;-;-;1;-;-;-
230425;-;-;1;-;1;1;-;-;-;-;1;-
230426;1;-;-;-;-;1;-;-;-;-;-;-
230427;-;-;-;1;-;-;-;-;-;-;-;-
230428;-;-;-;1;-;-;-;-;-;-;1;-
230430;1;-;-;1;-;1;-;-;-;-;-;-
230435;1;-;-;1;-;-;-;-;-;-;-;1
230440;19;20;25;27;25;17;26;19;13;21;24;25
230445;-;-;-;-;-;1;-;-;-;-;1;1
230450;-;-;-;-;-;1;-;-;-;-;-;-
230460;-;1;-;-;-;-;-;-;-;-;-;-
230470;-;3;-;-;-;-;2;-;-;1;1;-
230490;-;-;1;-;1;-;-;-;-;-;-;-
230500;-;-;-;-;-;1;1;-;1;-;1;-
230523;-;1;1;-;1;-;-;1;-;-;1;-
230530;1;1;-;-;-;-;-;-;-;-;-;-
230540;-;-;-;1;-;-;-;-;-;-;-;-
230550;-;-;-;1;1;1;1;-;2;1;-;1
230560;-;-;1;-;-;-;-;-;-;-;-;-
230565;-;-;-;1;-;-;-;-;-;-;1;-
230580;-;1;1;-;-;-;-;1;-;-;1;-
230590;-;-;-;-;-;-;-;1;-;-;-;1
230600;-;-;-;-;-;-;-;1;1;-;-;-
230610;-;-;-;-;-;1;1;-;-;-;-;-
230620;-;-;-;-;1;-;-;-;-;-;-;-
230625;-;-;1;1;1;-;-;-;-;-;1;-
230630;-;-;-;-;-;-;1;-;-;-;-;-
230640;1;-;-;-;1;-;-;-;1;-;1;1
230655;-;-;-;3;-;-;-;-;-;-;-;-
230660;-;-;-;-;-;-;-;-;1;-;-;-
