Município,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
230020,-,-,-,-,-,-,-,-,1,-,-,-
230040,-,-,-,-,-,1,-,-,-,-,-,-
230160,-,-,-,-,1,-,-,-,-,-,-,-
230185,-,-,-,-,-,1,-,-,-,-,-,-
230190,-,-,-,-,-,-,-,-,1,-,-,-
230210,1,-,-,-,-,-,-,-,-,-,-,-
230230,-,-,-,1,-,-,-,-,1,-,-,-
230240,-,1,-,-,-,-,-,-,-,-,-,-
230260,-,-,-,-,1,-,-,-,-,-,-,-
230270,-,-,1,-,-,-,1,-,-,-,-,-
230280,-,-,-,-,-,-,-,-,-,1,-,-
230350,-,-,-,-,-,-,-,-,-,-,1,-
230365,-,-,-,-,-,1,-,-,-,-,-,-
230370,-,1,-,1,1,-,-,-,-,1,1,1
230410,-,1,1,-,-,-,-,-,-,1,-,-
230420,-,1,-,-,1,-,-,-,-,1,1,-
230440,2,1,1,1,1,1,4,3,1,3,1,1
230445,-,-,-,-,-,-,1,-,-,-,-,-
230470,-,-,-,-,1,-,-,-,-,-,-,-
230500,-,-,-,-,-,-,-,-,-,-,1,-
230523,-,-,1,-,-,-,-,-,-,-,-,-
230540,1,-,-,-,-,-,-,-,-,-,-,1
230550,-,-,-,-,-,-,-,-,-,1,-,-
230560,-,-,-,-,1,-,-,-,-,-,-,-
230570,-,-,-,1,-,-,-,-,-,-,-,-
230590,1,-,-,-,-,-,-,-,-,1,-,-
230625,-,-,-,-,-,-,-,1,-,-,-,-
230630,-,-,-,-,-,1,-,-,1,-,-,-
230640,1,-,-,-,-,-,1,-,-,-,-,-
230710,-,-,-,-,-,-,-,1,1,-,-,-
230730,-,-,-,-,-,-,-,-,-,-,-,1
230763,-,-,-,-,-,-,-,-,1,-,-,-
230770,-,-,-,-,-,-,-,1,-,-,1,-
230800,-,-,-,-,-,-,-,-,1,-,-,-
230830,-,-,-,-,-,-,-,1,-,-,-,-
230870,-,1,1,-,-,-,-,-,-,-,-,-
230930,-,-,-,-,-,-,-,1,-,-,-,-
230940,-,-,-,1,-,-,-,-,-,-,-,-
230945,-,-,-,-,1,-,-,-,-,-,-,-
230960,-,-,-,1,-,-,-,-,-,-,-,-
231050,-,-,1,-,-,-,-,-,-,-,-,1
231085,-,-,-,-,-,1,-,-,-,-,-,-
231126,-,-,-,-,-,-,1,-,-,-,-,-
231130,1,-,-,2,-,-,-,-,1,-,-,-
231170,-,-,-,-,1,-,-,-,-,-,-,-
231180,1,-,-,-,-,-,-,-,-,-,-,-
231190,-,-,-,-,-,-,-,-,1,-,-,-
231340,1,-,-,-,-,-,-,-,-,-,-,-
231395,-,-,1,-,-,-,-,-,-,-,-,-
231410,-,1,-,-,-,-,-,-,-,-,1,-
