Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;-;1;-;-;-;-;-;-;1;-
230015;-;-;1;-;-;-;-;-;1;-;-;-
230020;-;-;-;-;1;-;-;1;-;-;-;3
230030;-;-;1;1;-;-;-;1;-;-;1;1
230040;-;-;-;-;-;-;-;-;-;-;-;1
230060;-;-;-;-;-;-;1;-;-;1;-;-
230070;-;-;-;1;-;-;-;-;-;-;1;-
230075;1;-;-;-;-;1;2;-;-;2;-;1
230090;1;-;-;-;1;-;-;-;-;-;-;-
230100;-;-;2;-;-;2;-;-;1;1;1;-
230110;-;-;1;1;-;1;1;-;3;-;-;-
230120;-;-;-;-;1;-;-;-;-;-;-;-
230125;-;-;-;-;-;-;-;1;-;1;-;-
230130;-;-;1;-;-;-;2;-;-;-;-;1
230140;-;-;-;1;1;-;-;-;-;-;-;-
230150;-;-;-;-;-;-;-;-;-;-;-;1
230160;-;-;1;-;1;-;-;-;-;-;-;-
230170;-;-;-;-;2;1;-;-;-;-;-;-
230180;-;-;-;-;-;1;-;-;-;-;-;-
230185;-;-;-;1;1;-;-;1;-;-;-;-
230190;1;-;2;3;-;1;1;1;-;1;3;1
230200;-;2;1;1;-;-;1;-;-;-;-;-
230205;-;-;-;-;-;-;-;-;-;-;1;1
230210;-;-;1;-;-;-;-;1;-;-;1;-
230220;2;-;-;-;-;-;1;-;-;-;-;-
230230;-;-;-;-;1;-;1;1;-;-;-;2
230240;1;1;-;-;1;-;2;-;-;-;-;-
230250;-;1;-;3;-;-;1;-;-;1;-;-
230260;-;1;-;1;1;1;2;-;-;-;1;-
230270;1;-;1;1;-;-;-;-;-;-;1;-
230280;1;-;-;1;1;-;-;-;1;1;-;-
230290;1;-;-;-;-;-;1;-;-;-;-;-
230310;-;1;-;-;-;-;1;-;-;-;1;-
230320;-;-;1;-;-;2;1;-;-;-;1;-
230330;-;-;-;-;-;-;-;-;-;-;-;1
230340;-;-;-;-;1;-;-;-;2;-;-;-
230350;-;-;-;-;1;-;-;-;2;1;-;-
230360;-;-;1;-;-;-;-;-;-;-;-;-
230365;-;-;-;-;-;-;-;-;-;-;1;-
230370;2;4;4;3;5;4;1;3;4;-;1;-
230380;-;-;1;-;-;-;-;1;-;-;-;-
