Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;1;1;-;-;-;-;-;1;-;-
230015;-;-;-;1;-;-;1;-;-;-;1;1
230020;2;-;-;-;-;-;-;-;-;-;-;-
230030;-;-;-;1;-;-;-;-;-;1;-;-
230075;1;1;-;-;-;-;-;-;-;-;-;-
230100;-;1;-;-;-;-;-;1;-;2;-;1
230110;-;-;-;1;-;-;-;1;-;1;-;1
230120;-;-;-;-;-;-;-;-;-;-;1;1
230130;-;-;-;-;1;-;-;-;-;-;-;-
230160;-;-;-;-;-;-;-;-;-;-;-;1
230185;-;-;-;-;-;-;1;-;-;-;-;-
230190;1;1;-;-;-;-;1;-;-;-;-;2
230195;-;-;1;-;-;1;-;-;-;-;-;-
230200;-;1;-;-;-;-;-;-;-;-;-;-
230205;1;-;-;-;-;-;-;-;-;-;-;-
230210;-;-;-;-;-;2;-;-;-;-;1;-
230220;-;1;-;-;-;-;-;-;-;-;-;1
230230;-;-;-;-;-;-;-;-;-;1;-;1
230240;-;2;-;1;-;-;-;-;-;-;-;-
230260;1;-;-;1;-;2;-;-;-;-;1;-
230280;-;-;-;1;1;-;-;1;-;-;-;-
230300;1;-;-;-;-;-;-;-;-;-;-;-
230310;1;-;-;-;-;-;-;-;-;-;-;-
230320;1;-;-;-;-;-;-;-;1;-;1;-
230340;-;-;-;-;-;-;-;-;-;-;-;1
230350;1;-;-;-;-;-;1;-;-;-;-;-
230370;3;1;1;1;1;1;-;3;5;3;-;-
230395;-;-;-;-;-;1;-;-;-;1;-;-
230400;1;-;-;-;-;-;-;-;-;-;-;-
230410;-;-;-;-;-;-;-;1;-;-;-;-
230420;-;-;2;-;1;1;1;-;-;-;-;-
230423;-;-;-;-;-;-;-;-;-;1;-;1
230425;-;-;-;-;-;-;-;-;2;-;-;-
230428;-;-;-;-;-;1;1;-;-;1;-;-
230430;-;-;1;-;-;-;-;-;-;-;-;-
230440;10;13;15;11;6;10;5;13;8;8;4;11
230445;1;-;-;-;-;-;-;-;-;-;-;-
230460;-;-;-;-;-;-;-;-;-;-;1;-
230465;-;-;-;-;-;-;-;-;-;-;1;-
230470;-;-;2;-;1;-;-;-;-;-;-;-
230490;-;-;-;-;-;-;-;1;-;-;-;-
230520;-;1;-;-;-;1;-;-;-;-;-;-
230523;-;-;-;1;-;-;-;-;1;-;-;1
230526;-;1;-;1;-;-;-;-;-;-;-;-
230530;-;-;-;-;-;-;-;-;1;-;1;-
230533;-;-;1;1;-;-;-;-;-;-;-;-
230535;-;-;-;-;1;-;-;-;-;-;-;-
230540;-;-;-;-;1;-;-;-;-;-;-;-
230550;-;1;1;-;2;1;1;-;1;1;-;1
230565;-;-;-;-;-;1;-;-;-;-;-;-
230580;-;-;-;1;-;-;-;-;1;1;-;1
230590;-;-;-;-;-;-;1;-;-;-;-;-
230600;-;-;-;-;-;-;1;-;-;-;-;-
230610;-;1;-;-;-;-;-;1;-;-;-;-
230620;1;-;1;-;1;-;-;-;-;-;-;-
230640;1;-;-;-;-;-;1;-;1;1;-;-
230650;-;-;-;-;-;-;1;-;-;-;-;-
230655;-;-;-;-;1;-;-;-;-;-;1;-
230670;-;-;-;-;-;1;-;-;-;-;-;-
230690;-;-;-;-;-;-;2;-;-;-;-;-
230700;-;-;1;-;-;-;-;-;-;-;-;-
230725;1;-;-;-;-;-;-;-;-;1;-;-
230730;1;-;-;2;2;-;1;1;-;1;1;2
230740;-;-;-;-;-;-;1;2;-;-;-;-
230750;-;-;1;-;-;-;-;-;-;-;-;-
230760;-;1;1;-;-;-;-;-;-;-;-;1
230763;-;-;-;-;-;-;-;-;-;-;1;-
230765;1;-;-;1;3;-;1;1;-;2;-;2
230770;-;-;1;-;-;-;1;-;-;-;-;-
230780;-;1;-;-;-;-;-;-;-;-;-;-
230790;-;-;-;-;1;-;-;-;-;-;-;-
230800;2;-;-;-;-;1;-;-;-;-;-;-
230810;-;-;1;-;-;-;1;-;-;1;-;2
230830;-;-;-;-;-;-;-;-;1;-;-;-
230835;-;-;-;-;1;-;-;-;-;-;-;-
230840;-;-;-;1;-;-;-;-;-;1;-;-
230860;-;-;-;-;-;-;-;-;1;-;-;-
230870;-;-;-;1;-;-;-;1;-;-;-;-
230920;-;-;-;1;-;-;1;-;-;-;-;-
230930;-;-;-;-;1;-;-;-;-;-;-;-
230945;-;-;1;-;-;-;-;-;-;-;-;-
230950;-;1;-;-;-;-;-;-;-;-;-;-
230960;-;-;-;-;-;-;-;-;-;-;-;1
230970;-;-;-;-;1;-;-;-;-;-;-;-
231020;1;-;-;-;-;-;-;-;-;-;2;-
231050;-;1;-;-;-;-;-;-;-;-;-;-
231060;-;-;-;1;-;-;-;-;-;-;-;-
231070;1;-;-;1;-;-;-;-;-;-;-;-
231080;-;-;-;-;-;-;-;-;1;-;-;-
231085;-;-;-;1;-;-;-;-;-;-;-;-
231090;-;-;-;-;1;-;-;-;-;-;-;-
231095;-;-;-;-;-;-;-;1;-;-;-;-
231120;-;-;-;-;1;-;-;-;-;-;-;-
231123;-;-;-;-;-;-;-;-;1;-;-;-
231126;-;-;-;-;-;-;-;1;-;-;-;-
231130;1;-;1;1;-;2;-;-;1;-;1;-
231140;1;-;-;1;-;-;1;-;-;-;-;-
231160;-;-;-;-;-;1;1;-;-;-;-;-
231180;-;-;-;-;2;-;-;-;-;1;1;-
231195;-;-;-;-;-;-;-;-;-;-;1;-
231220;1;-;-;-;-;-;-;1;-;-;1;-
231200;-;1;-;-;-;-;-;-;1;-;-;-
231230;-;-;-;2;-;-;2;-;1;-;1;-
231240;-;-;1;-;1;-;-;-;-;-;-;-
231260;-;-;-;-;1;-;-;-;-;-;-;-
231270;-;-;-;-;-;-;-;-;-;3;-;-
231290;3;1;2;1;-;1;-;-;2;1;2;-
231310;-;-;-;-;1;-;-;-;-;-;-;-
231320;-;-;-;-;-;-;-;-;-;-;-;1
231325;-;-;-;-;-;-;-;-;-;-;1;-
231330;-;1;-;-;-;-;-;-;-;-;-;-
231340;1;-;-;1;1;-;-;1;-;-;-;-
