Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;1;-;-;-;-;-;-;-;-;-;-;-
230015;-;-;3;-;-;-;-;2;-;-;-;-
230020;1;1;1;4;1;-;1;-;1;-;3;-
230030;1;2;3;-;4;-;3;1;1;2;-;1
230040;-;-;-;-;1;-;-;-;-;-;1;-
230050;-;-;-;-;-;-;-;-;-;-;-;1
230060;-;1;-;1;-;-;-;1;-;-;1;-
230070;-;-;2;-;-;-;-;-;1;-;-;-
230075;-;-;2;-;-;-;-;3;1;-;-;2
230080;-;-;-;1;-;-;-;-;-;-;-;-
230090;-;-;-;4;-;-;-;-;1;-;-;-
230100;1;-;-;-;1;1;1;-;-;-;-;-
230110;-;2;-;-;-;-;2;-;-;2;-;1
230120;1;1;2;-;-;3;-;1;2;1;-;3
230125;-;-;2;-;-;1;1;1;-;2;2;1
230130;-;-;1;1;-;-;-;-;-;-;-;-
230140;-;1;1;2;-;1;-;-;-;-;-;-
230150;-;-;-;-;-;-;-;-;1;-;-;-
230160;1;1;2;-;1;1;-;-;2;-;-;-
230170;-;2;1;3;-;-;1;-;-;-;-;-
230185;-;1;1;2;-;-;1;1;2;-;1;1
230190;3;3;4;1;1;-;1;-;-;6;3;-
230195;-;-;-;-;1;-;-;-;-;-;1;1
230200;-;-;-;3;-;1;-;-;2;1;-;-
230205;1;-;-;1;-;1;-;-;-;-;-;1
230210;-;-;-;-;3;4;-;-;1;1;2;2
230220;-;-;-;-;-;-;2;-;1;-;-;-
230230;1;-;-;-;-;-;-;-;-;-;-;2
230240;1;-;-;-;1;1;-;-;-;-;-;-
230250;-;-;-;2;2;1;1;-;-;1;1;1
230260;1;-;1;1;2;-;1;1;-;-;1;3
230270;2;3;3;1;3;3;2;3;1;-;8;2
230280;-;1;1;-;-;3;-;-;1;-;-;1
230290;-;3;1;-;1;-;2;1;-;-;1;1
230300;-;-;-;-;-;-;-;-;-;-;-;1
230310;1;-;-;-;-;1;1;-;-;1;1;-
230320;-;1;-;-;-;-;-;-;1;-;-;1
230330;1;-;2;-;1;-;1;-;-;-;-;-
230360;-;-;-;-;-;1;-;-;-;-;1;-
230370;1;2;-;-;-;-;1;-;-;-;2;1
230380;-;-;1;-;-;-;-;-;-;-;-;-
230390;-;1;2;-;2;1;2;1;-;1;-;-
230393;2;-;1;-;2;-;2;-;2;2;-;-
230395;-;-;-;-;-;1;-;1;-;-;-;-
230400;1;-;1;1;-;1;-;3;-;-;-;-
230410;4;8;4;2;3;4;2;1;4;2;3;4
230420;9;6;4;11;8;2;7;3;6;4;3;5
230423;-;-;-;-;-;-;-;-;-;-;-;1
230425;-;-;1;1;-;1;-;-;-;-;1;1
230426;1;-;-;-;-;-;1;-;-;1;-;-
230430;-;2;1;2;1;1;-;-;-;-;-;-
230435;1;-;-;2;3;-;-;-;1;1;-;1
230440;58;42;49;61;57;55;67;57;49;44;41;40
230445;-;1;1;-;1;-;-;-;-;1;1;1
230450;-;1;-;-;-;-;-;-;-;-;-;-
230460;-;-;-;-;-;-;-;-;-;1;-;-
230465;-;-;1;-;1;-;-;-;1;1;-;-
230470;5;1;2;5;7;8;5;2;3;4;-;2
230480;-;-;1;-;-;-;-;-;-;-;-;1
230490;-;1;-;1;-;-;-;-;-;1;-;-
230495;-;-;-;4;1;2;1;3;1;-;1;-
230500;-;1;1;-;-;-;-;-;-;-;-;-
230510;-;-;-;-;-;-;1;-;-;-;-;-
230520;1;-;1;-;-;-;-;-;-;-;-;-
230523;2;-;1;-;-;-;1;1;1;-;1;1
230526;2;-;1;1;1;-;-;-;1;2;-;-
230535;-;2;-;-;-;-;-;-;-;1;-;-
230540;-;-;2;-;1;1;1;2;2;1;2;1
230550;-;1;1;1;1;-;2;2;1;-;-;-
230560;-;-;4;1;3;2;2;1;1;2;-;2
230565;2;-;2;2;1;-;-;-;-;-;1;1
230570;1;-;-;-;1;-;-;-;-;-;-;1
230580;1;-;1;-;1;1;2;-;1;1;2;-
230590;-;-;-;-;-;-;1;-;1;-;3;-
230600;-;-;1;-;-;-;-;1;1;-;1;-
230625;-;-;-;-;-;-;1;-;-;-;-;-
230630;1;1;2;1;-;-;-;1;-;2;-;-
230640;-;2;2;1;3;-;2;-;-;1;3;-
230650;2;-;1;-;2;1;1;3;2;-;1;1
230660;-;-;-;-;-;-;1;-;-;-;-;-
230670;-;1;-;2;-;-;-;-;-;1;-;-
230680;1;2;1;-;-;-;-;1;-;-;1;-
230690;-;2;2;6;1;1;-;1;2;2;1;1
230710;-;1;1;-;-;1;-;-;-;1;2;-
230720;-;-;-;1;1;-;-;-;-;-;-;-
230725;-;-;-;1;-;-;-;-;1;-;-;-
230730;2;9;15;12;6;6;8;13;3;18;18;6
230740;1;-;1;-;1;-;-;2;-;-;2;-
230750;-;1;-;-;-;-;-;1;1;-;-;1
230760;-;-;-;4;1;-;-;2;-;1;1;2
230763;1;-;-;-;-;-;-;-;-;-;-;-
230765;10;5;5;2;4;6;4;2;3;-;7;3
230770;3;2;-;2;2;3;1;2;-;-;2;-
230790;-;-;-;-;3;1;1;2;2;2;2;2
230800;7;4;8;4;3;3;6;3;3;4;4;7
230810;3;1;1;1;-;-;1;1;-;2;2;1
230830;1;1;2;-;1;1;2;1;-;1;1;1
230835;1;-;1;-;1;-;-;3;1;1;1;-
230837;-;-;1;-;-;-;-;-;-;-;1;-
230840;2;-;1;1;4;1;3;1;4;2;6;2
230850;2;-;2;1;-;-;3;-;3;-;2;4
230860;-;1;-;4;-;-;-;1;-;2;-;1
230870;2;-;3;1;3;3;4;2;4;1;3;4
230880;-;-;-;-;-;-;-;-;-;2;-;-
230890;1;-;-;-;-;-;1;-;-;-;-;-
230900;-;1;-;-;3;2;-;1;2;-;1;1
230910;-;-;-;1;-;1;1;1;-;1;-;-
230920;1;-;1;-;-;1;-;-;-;-;-;-
230930;1;4;4;1;-;-;2;-;1;1;1;-
230940;-;-;1;2;-;1;-;3;2;-;2;1
230945;1;-;-;-;-;-;-;-;-;-;1;-
230950;-;-;-;1;-;1;-;-;-;1;1;1
230960;-;3;-;-;-;1;1;1;-;3;1;1
230970;-;-;-;3;2;3;-;1;1;1;2;1
230980;1;2;1;1;-;2;1;-;1;1;-;1
230990;1;-;-;-;-;-;-;-;-;-;-;-
231000;-;-;-;-;-;-;-;-;-;-;-;1
231010;-;-;-;-;-;1;-;-;1;-;-;-
231020;-;-;-;-;1;-;-;-;-;-;1;-
231025;-;-;2;-;-;-;-;-;-;-;-;-
231030;-;-;-;-;1;-;-;-;1;-;-;1
231040;1;-;-;-;1;1;1;-;-;-;-;1
231050;6;4;1;1;2;6;5;1;3;2;2;1
231060;-;-;-;1;1;-;-;-;-;-;1;-
231070;1;-;-;-;-;-;-;-;-;1;-;-
231080;-;-;-;-;-;-;-;1;-;-;-;-
231085;-;-;-;-;1;-;-;-;-;-;1;-
231095;-;-;-;1;-;-;-;-;-;-;-;1
231100;-;-;-;1;-;-;-;-;1;-;-;-
231110;-;-;1;-;-;-;-;-;-;-;-;-
231120;2;-;-;-;-;-;-;-;-;-;-;-
231126;1;-;-;-;-;1;2;-;-;-;1;-
231130;6;5;12;5;6;8;6;3;4;3;4;8
231135;-;1;3;-;-;2;1;-;-;2;-;1
231140;-;-;2;-;-;1;-;1;3;-;-;1
231150;-;-;-;-;-;1;-;-;-;1;-;-
231160;3;-;-;2;2;1;5;-;1;-;2;1
231170;-;-;-;-;-;1;-;1;-;-;3;1
231180;2;-;4;1;2;3;5;3;4;3;4;1
231190;-;-;-;-;-;-;-;1;-;1;-;1
231195;-;1;-;-;1;-;-;-;-;-;-;-
231220;-;-;1;1;2;2;3;1;4;6;2;1
231200;-;1;1;3;8;5;2;-;2;-;1;2
231210;-;-;-;-;1;-;-;1;-;1;-;-
231240;1;-;-;-;1;-;-;1;1;-;-;-
231250;-;-;1;-;1;1;1;1;3;-;-;-
231260;1;-;-;-;-;-;1;-;-;-;-;-
231270;-;-;-;1;1;-;-;1;-;-;2;-
231280;-;-;1;-;-;-;1;1;-;-;1;-
231290;10;8;4;14;9;7;11;10;11;6;8;10
231300;-;-;-;-;-;-;-;-;-;-;1;-
231310;-;-;1;1;-;-;-;-;-;-;1;-
231320;2;-;3;-;2;1;1;1;1;1;1;2
231330;-;1;3;-;2;-;4;2;-;1;3;-
231335;-;-;-;-;-;-;-;-;1;-;-;-
231350;-;1;1;-;1;-;-;-;-;-;-;-
231355;2;3;3;3;3;6;-;4;1;1;-;-
231370;-;-;-;-;-;-;-;-;-;-;-;1
231375;2;-;1;-;-;-;-;-;-;-;1;1
231380;2;1;-;1;1;3;-;-;1;2;3;1
231395;-;1;1;-;-;-;-;-;-;1;-;-
231400;-;-;-;-;-;-;-;-;1;-;-;-
231410;1;1;1;-;-;-;1;-;1;-;1;2
230000;-;-;-;-;-;-;-;-;-;1;-;1
