Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;1;-;-;-;1;1;1;-;-;-;-
230015;2;-;1;1;-;1;2;4;-;-;1;-
230020;6;6;3;7;2;3;5;7;6;7;4;2
230030;3;4;2;3;3;1;4;4;1;3;2;3
230040;-;-;-;1;1;-;2;-;2;2;1;1
230050;-;1;1;1;2;-;1;-;1;-;-;2
230060;-;1;-;-;-;1;-;-;-;-;-;1
230070;1;3;3;-;1;1;1;-;2;1;3;-
230075;1;2;2;2;2;3;2;2;2;-;3;7
230080;1;-;1;-;-;-;-;-;2;-;-;1
230090;-;2;-;1;-;-;1;-;1;1;1;1
230100;14;11;12;6;9;6;5;8;5;5;12;2
230110;5;2;8;4;3;5;2;3;7;4;5;5
230120;1;4;2;-;2;-;1;2;1;2;2;1
230125;-;-;1;-;1;-;-;-;-;1;-;1
230130;1;2;2;1;1;-;2;4;3;2;2;2
230140;1;-;-;1;-;3;2;-;2;2;2;1
230150;2;-;-;1;-;-;1;-;-;-;1;-
230160;3;-;1;1;2;1;3;3;-;1;2;-
230170;1;1;1;2;2;3;-;1;-;-;-;2
230180;-;-;-;-;-;-;-;-;1;-;-;-
230185;1;2;1;2;-;-;-;-;1;1;1;2
230190;4;1;4;7;4;2;3;4;4;12;1;2
230195;2;1;3;-;1;3;2;1;2;-;2;1
230200;1;-;2;1;1;-;3;1;1;1;1;4
230205;-;1;-;-;-;2;2;2;-;4;-;-
230210;1;4;9;1;4;4;2;1;5;4;1;-
230220;6;3;11;2;2;4;4;3;1;4;4;4
230230;3;-;2;3;2;2;-;4;2;2;4;4
230240;9;4;4;4;13;6;3;3;5;4;6;3
230250;2;-;2;3;2;3;3;3;3;2;3;3
230260;3;-;4;1;1;2;-;7;-;1;4;3
230270;2;2;3;3;2;1;1;3;1;2;1;-
230280;5;7;5;9;7;2;5;5;3;7;2;9
230290;2;-;2;-;-;1;-;-;2;1;-;1
230300;2;2;1;1;3;2;2;1;4;-;1;4
230310;3;1;2;3;-;-;-;1;4;1;-;2
230320;2;-;1;1;2;1;1;6;1;-;3;2
230330;-;1;2;2;-;1;-;-;4;2;1;1
230340;1;-;1;-;-;1;-;1;1;-;1;2
230350;2;9;2;4;6;7;2;8;6;5;4;3
230360;1;-;1;3;1;1;3;2;-;-;1;2
230365;1;-;-;1;-;1;-;1;2;-;-;2
230370;40;27;39;22;33;41;23;18;16;41;32;39
