Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;-;-;-;-;-;-;-;1;-;-
230015;-;-;1;-;-;-;2;1;1;-;-;-
230020;-;-;2;1;1;-;-;2;-;1;-;2
230030;2;1;1;2;2;-;-;1;-;1;1;1
230040;-;-;-;-;-;-;-;-;-;-;1;-
230050;-;-;1;1;-;-;-;-;-;-;-;-
230060;1;-;1;-;-;-;-;-;-;-;2;-
230070;-;1;-;-;1;-;1;-;-;2;-;-
230075;1;1;2;1;-;1;2;-;2;2;1;-
230080;-;1;-;-;-;-;-;-;-;-;-;-
230090;-;-;-;-;-;-;1;1;-;-;-;-
230100;1;-;1;-;1;-;1;2;-;1;1;-
230110;-;-;-;-;2;1;2;1;1;1;-;3
230120;-;-;2;1;2;-;-;1;-;-;-;-
230125;-;-;-;-;-;-;-;-;1;-;-;-
230130;1;-;-;-;-;-;-;-;1;-;-;1
230150;-;1;-;-;-;-;-;-;-;-;-;-
230160;-;-;-;-;-;-;-;-;2;-;-;-
230170;1;1;-;-;-;-;1;1;1;1;-;-
230180;-;-;-;-;1;-;-;-;-;-;-;-
230185;1;-;-;-;-;-;-;-;1;-;-;-
230190;-;-;2;1;-;-;1;-;2;-;2;-
230195;-;-;1;-;-;-;1;-;-;-;-;-
230200;-;-;-;-;-;1;-;-;-;-;1;1
230205;-;1;-;-;-;-;1;-;-;-;-;-
230210;-;-;1;-;1;1;-;1;-;1;2;-
230220;2;-;-;1;2;2;-;-;-;3;1;1
230230;-;-;1;-;-;-;1;-;1;-;-;-
230240;-;1;1;-;6;-;4;-;1;-;-;-
230250;1;1;-;1;2;-;1;1;-;-;-;1
230260;-;1;-;2;-;1;2;1;1;-;1;-
230270;-;2;-;1;-;1;1;1;-;-;-;1
230280;1;1;-;-;4;2;-;2;1;2;2;2
230290;-;-;-;-;1;-;-;1;-;-;-;-
230300;2;-;-;-;-;-;-;-;-;-;-;-
230310;-;-;-;-;-;-;2;2;1;-;-;-
230320;-;-;2;-;-;-;-;-;1;2;-;-
230330;-;-;-;-;-;-;2;-;-;1;-;1
230340;-;-;-;-;-;-;2;1;-;1;-;-
230350;2;-;2;1;1;1;1;-;-;3;1;3
230360;-;-;1;-;-;-;-;-;-;-;-;-
230365;-;1;-;-;-;-;1;-;-;-;-;-
230370;4;6;3;4;10;6;9;4;2;-;11;4
230380;-;-;1;1;-;1;3;-;-;-;-;-
230390;-;-;-;-;-;-;-;1;-;-;-;-
230393;-;-;-;-;-;-;-;1;-;-;1;1
230395;-;-;-;1;1;-;-;-;2;2;-;-
230400;-;1;1;2;1;-;1;-;-;-;-;-
230410;3;1;2;1;1;3;4;-;3;2;4;2
230420;5;4;2;1;3;3;3;4;1;5;1;-
230425;-;-;-;-;-;-;-;-;-;1;-;-
230426;-;-;-;-;-;-;-;-;-;-;-;1
230428;1;1;1;1;-;-;-;2;-;1;-;-
230430;-;-;-;-;-;1;-;-;1;1;1;-
230435;-;-;1;-;5;-;1;-;1;-;-;-
230440;56;64;70;66;60;54;70;50;54;70;56;53
230450;-;-;-;-;-;1;1;-;-;-;-;-
230460;-;-;-;-;-;-;-;-;-;1;-;-
230465;-;-;-;-;-;-;-;-;-;-;-;1
230470;-;-;-;1;1;2;-;-;-;-;-;1
230490;1;-;1;-;-;-;-;-;-;-;-;1
230495;-;-;-;-;1;-;2;-;-;1;-;-
230500;-;1;1;1;-;2;2;1;1;1;-;-
230520;2;-;-;1;-;-;1;-;-;1;-;1
230523;-;1;2;1;-;1;2;1;1;-;-;1
230530;-;-;-;-;-;-;-;-;-;-;1;1
230533;-;1;1;-;-;-;-;2;-;-;-;-
