Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;1;-;2;1;-;1;1;-;2;2;1;-
230015;-;1;3;-;1;1;-;3;1;3;1;1
230020;1;4;2;4;6;4;3;3;1;5;1;5
230030;4;7;2;8;6;3;5;3;7;3;5;6
230040;-;1;4;3;2;2;2;4;2;1;1;2
230050;1;2;1;1;1;-;1;1;2;-;-;-
230060;-;1;-;-;-;-;-;-;2;1;-;-
230070;1;1;1;2;-;-;1;-;3;-;-;1
230075;1;4;3;1;1;1;-;2;3;2;1;2
230080;2;-;-;1;1;-;-;1;-;1;1;-
230090;1;-;1;-;-;-;2;1;2;1;-;2
230100;1;3;4;4;2;5;2;2;2;4;3;3
230110;2;5;4;6;4;5;3;3;5;3;1;7
230120;2;2;1;2;-;-;2;3;1;1;1;5
230125;1;-;-;1;1;1;1;-;-;-;-;3
230130;4;-;1;-;-;1;-;3;2;1;1;3
230140;1;1;1;-;3;-;1;1;-;-;1;-
230150;-;-;-;2;1;-;1;1;1;-;-;1
230160;4;-;2;-;2;2;1;1;2;2;1;2
230170;1;-;5;1;4;2;2;1;-;-;3;3
230180;-;-;2;-;-;-;1;-;2;-;1;2
230185;-;-;1;-;3;2;-;3;-;1;2;1
230190;5;1;4;4;1;4;5;2;1;4;2;2
230195;-;-;-;2;-;1;-;1;2;1;4;2
230200;3;2;2;1;5;-;-;-;3;1;1;4
230205;3;1;1;2;1;-;2;-;2;-;-;1
230210;4;-;2;4;1;2;5;2;-;-;-;5
230220;4;2;4;5;4;1;-;3;3;1;2;2
230230;2;-;-;-;3;1;-;1;1;1;-;-
230240;11;-;4;3;2;3;8;6;3;6;7;4
230250;1;4;2;2;2;3;6;2;4;3;5;7
230260;2;6;7;3;5;1;5;3;1;3;2;3
230270;-;3;3;3;1;3;2;-;-;2;-;1
230280;8;3;6;2;4;4;4;3;8;8;4;4
230290;4;2;1;2;2;3;2;1;-;-;-;-
230300;-;2;1;2;1;-;2;3;4;1;1;1
230310;-;1;4;5;2;2;2;1;4;2;1;1
230320;3;1;1;1;1;1;1;2;1;-;2;2
230330;1;1;1;2;3;2;6;3;2;-;1;-
230340;1;2;2;-;1;1;-;4;4;-;-;3
230350;5;8;5;-;4;6;4;4;5;6;3;6
230360;-;3;-;-;2;2;1;-;1;1;-;-
230365;-;-;-;-;1;1;1;1;-;-;-;-
230370;14;6;14;11;20;13;20;11;19;18;8;17
230380;6;1;1;6;3;2;3;2;3;1;3;-
230390;1;1;3;-;-;-;-;-;-;-;-;-
230393;-;-;1;1;-;1;2;1;-;-;-;2
230395;-;-;-;-;-;1;1;2;-;1;2;2
230400;-;1;1;1;1;1;-;1;1;1;1;-
230410;11;5;6;6;5;6;3;5;3;2;5;6
230420;11;9;14;8;6;7;8;13;8;6;10;4
230423;1;-;1;2;2;1;3;1;-;2;1;1
230425;2;2;-;-;1;1;3;4;1;2;-;-
230426;1;-;-;-;1;-;1;1;2;1;1;1
230427;-;-;-;1;-;-;-;1;-;4;-;-
230428;3;4;1;-;2;3;4;2;3;1;-;-
230430;3;1;2;2;1;-;2;-;1;1;1;2
230435;-;2;1;2;2;-;3;1;-;-;3;1
230440;196;184;172;182;200;202;202;171;143;182;169;186
230445;1;2;-;1;2;2;1;2;2;1;-;-
230450;1;-;-;1;2;1;1;-;2;3;1;1
230460;-;1;-;1;-;-;-;2;-;-;-;1
230465;-;-;3;-;2;1;1;1;-;4;1;3
230470;3;4;1;3;3;1;-;3;1;1;5;2
230480;1;-;-;-;-;-;-;-;-;-;-;-
230490;-;-;1;1;-;1;-;1;-;2;1;-
230495;-;2;3;-;1;2;-;1;-;2;1;2
230500;3;-;3;3;4;6;6;6;4;5;3;3
230510;1;1;1;-;-;-;-;-;-;-;1;1
230520;3;2;2;1;1;4;3;1;2;1;-;2
230523;5;1;2;2;3;6;3;2;1;1;1;1
230526;-;2;1;-;-;1;1;-;-;-;1;1
230530;1;2;1;-;1;1;3;-;2;3;3;4
230533;-;1;-;-;1;-;1;1;2;1;1;1
230535;-;-;2;-;-;-;2;1;-;-;2;1
230540;6;2;7;5;12;3;3;2;3;5;4;3
230550;9;9;10;9;10;7;9;7;8;9;8;4
230560;1;3;3;1;3;2;3;2;1;2;4;1
230565;1;-;-;-;2;-;-;2;1;1;-;-
230570;1;-;1;1;-;-;-;-;-;2;-;-
230580;3;1;3;3;2;5;2;3;1;2;3;3
230590;1;3;4;3;4;2;3;5;3;1;-;1
230600;2;-;2;-;3;2;3;-;2;-;1;-
230610;3;-;3;1;1;-;2;-;2;-;2;-
230620;-;2;-;-;-;-;-;1;-;1;-;-
230625;-;3;2;3;1;2;1;2;2;1;2;1
230630;2;4;2;5;3;1;3;3;3;5;3;4
230640;9;5;9;4;4;7;12;3;2;5;9;5
230650;2;-;-;-;-;1;-;-;1;1;1;1
230655;3;3;2;7;3;2;1;1;2;1;3;3
230660;1;2;1;2;3;3;2;2;3;1;3;1
230670;2;2;2;1;1;-;4;3;-;1;-;-
230680;1;-;-;-;1;1;1;-;1;1;-;1
230690;4;2;2;3;4;2;1;1;2;2;-;3
230700;2;2;-;1;2;1;2;1;2;4;4;2
230710;1;-;3;-;2;2;2;1;1;2;-;2
230720;-;-;-;-;-;2;-;2;-;-;-;-
230725;1;2;-;1;-;-;3;1;1;2;1;4
230730;12;14;12;10;5;12;10;8;15;22;13;17
230740;2;2;1;3;-;4;2;-;5;1;1;2
230750;3;-;1;3;4;2;3;3;3;2;2;1
230760;5;6;4;4;5;2;2;6;3;4;3;7
230763;2;1;2;-;2;-;-;1;1;-;2;1
230765;9;12;12;12;12;15;14;22;7;9;10;11
230770;8;7;7;13;6;5;9;9;9;3;11;7
230780;-;1;1;2;2;-;-;2;3;1;3;3
230790;-;-;-;1;1;-;-;-;-;-;2;-
230800;4;2;2;2;1;3;-;2;3;1;4;6
230810;-;-;3;1;3;6;1;3;3;3;5;1
230820;1;1;2;-;-;-;1;-;1;1;2;3
230830;2;1;5;5;2;2;1;3;3;2;2;3
230835;1;1;1;-;1;1;1;1;1;1;2;2
230837;-;-;2;-;-;2;-;-;1;-;-;2
230840;-;2;1;3;-;2;1;3;-;1;1;-
230850;1;3;4;8;4;3;2;1;5;2;7;1
230860;1;-;-;1;3;-;-;-;1;-;1;3
230870;6;5;10;1;10;5;2;9;4;3;2;2
230880;-;-;-;-;-;-;1;-;-;-;-;-
230890;-;-;-;1;-;1;-;1;-;2;2;3
230900;1;-;-;-;2;-;-;2;-;1;-;1
230910;1;1;-;-;1;1;-;-;-;1;-;-
230920;-;1;3;1;3;1;-;3;-;1;-;3
230930;3;3;4;4;2;2;2;3;4;4;3;-
230940;-;5;2;-;3;1;-;2;2;4;2;1
230945;1;1;2;2;-;2;-;2;-;1;-;2
230950;4;-;6;5;2;1;-;1;2;1;2;-
230960;3;-;2;7;1;3;2;1;1;-;3;3
230970;3;3;2;3;1;3;1;2;5;5;3;4
230980;-;-;1;-;-;1;1;-;-;-;-;1
230990;-;-;1;1;-;-;1;-;-;-;2;1
231000;-;-;2;3;-;1;-;-;-;-;-;-
231010;1;3;-;1;3;1;-;-;1;1;-;3
231020;2;3;3;3;-;2;1;1;1;1;3;5
231025;4;1;1;1;2;2;4;-;-;1;1;3
231030;1;2;3;3;1;1;1;5;-;3;2;4
231040;-;-;4;2;1;1;-;2;1;1;3;1
231050;2;5;5;3;5;5;4;2;1;2;4;3
231060;-;-;-;-;-;-;-;1;1;2;1;-
231070;-;4;4;3;3;-;1;4;-;5;-;-
231080;1;-;2;1;2;-;-;1;1;2;-;1
231085;1;-;3;-;-;2;1;4;-;1;-;-
231090;1;1;2;5;-;3;-;-;1;2;-;2
231095;1;-;-;1;1;-;1;1;-;-;-;2
231100;-;1;1;1;-;1;1;-;-;-;2;-
231110;-;1;-;1;2;-;2;1;3;1;1;1
231120;1;-;-;3;-;-;1;1;1;-;-;-
231123;-;-;-;1;-;-;-;-;-;-;-;-
231126;4;2;1;1;3;-;-;1;-;2;1;1
231130;6;6;4;4;2;5;3;1;6;7;6;4
231135;1;2;2;1;1;1;1;2;3;2;1;1
231140;6;3;4;6;6;10;3;5;3;7;6;7
231150;3;1;1;2;2;5;3;-;1;2;1;2
231160;1;1;1;2;2;1;2;2;1;2;2;1
231170;5;1;-;3;1;1;-;1;-;2;2;1
231180;2;6;4;4;12;2;2;10;4;4;5;5
231190;-;1;2;2;2;3;1;3;1;1;2;-
231195;-;-;-;1;-;-;1;2;1;-;2;1
231220;1;5;1;4;2;2;2;4;2;2;1;3
231200;-;1;2;1;-;4;4;-;3;3;-;2
231210;3;1;1;3;-;-;4;-;3;1;2;1
231230;1;6;3;2;4;2;5;5;2;3;3;3
231240;2;1;1;4;6;3;1;3;3;3;-;4
231250;1;-;1;-;1;-;-;1;4;1;-;-
231260;1;-;-;-;-;1;1;-;-;1;-;-
231270;1;-;7;-;-;1;1;1;-;1;4;3
231280;1;1;-;1;-;-;-;-;-;-;-;1
231290;13;8;18;18;12;16;8;13;7;13;5;10
231300;1;1;2;3;2;-;1;1;-;1;3;3
231310;3;2;1;3;3;3;-;-;1;-;1;2
231320;1;1;5;2;5;1;3;-;3;-;1;3
231325;-;1;-;-;-;2;1;-;1;1;-;-
231330;3;-;6;1;4;4;1;2;3;1;1;4
231335;-;-;4;1;-;1;-;1;1;-;1;-
231340;1;4;5;3;2;2;5;1;2;4;6;2
231350;-;-;6;1;4;4;1;1;2;5;2;1
231355;2;-;1;2;1;-;-;1;2;1;-;-
231360;2;1;4;4;2;2;5;3;3;2;1;-
231370;-;-;1;1;2;-;-;-;1;-;-;1
231375;-;1;2;-;-;-;1;1;1;2;-;-
231380;-;2;3;1;2;3;2;-;1;2;-;3
231390;-;2;1;2;1;-;1;-;-;1;-;1
231395;-;1;2;-;1;-;2;1;1;2;2;1
231400;3;4;3;5;5;1;4;5;5;3;2;5
231410;4;3;4;3;4;3;3;1;4;1;5;3
