Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230015;-;1;-;-;-;-;-;-;1;-;-;-
230020;-;-;-;-;-;-;-;-;1;-;-;-
230030;-;-;-;-;-;1;-;-;1;-;-;-
230075;-;-;-;-;-;1;-;-;-;1;-;-
230110;-;-;2;-;-;-;-;-;1;-;-;-
230120;-;-;-;1;-;-;-;-;-;1;-;-
230125;-;-;-;1;-;-;-;-;-;-;-;-
230160;-;-;-;1;-;-;-;-;-;-;-;-
230200;-;1;-;-;-;-;-;-;-;-;-;-
230210;-;1;-;-;-;-;-;-;-;-;-;-
230230;-;1;-;-;-;-;-;-;-;-;-;-
230260;-;-;-;1;-;-;1;-;-;-;-;-
230280;-;2;1;-;-;-;1;-;-;-;-;-
230300;1;-;-;1;-;1;-;-;-;-;-;-
230310;-;-;1;-;1;-;1;-;-;-;-;-
230350;-;-;-;-;-;1;-;-;-;-;-;1
230370;1;2;-;-;-;-;2;-;3;2;-;1
230395;-;-;-;-;-;-;-;-;-;-;1;-
230410;-;1;-;-;-;-;1;-;-;-;-;-
230420;-;1;1;-;-;-;-;1;-;2;-;-
230423;-;-;-;-;-;-;-;-;-;-;1;-
230430;-;-;-;-;-;-;-;-;-;-;1;-
230440;7;3;6;6;6;4;5;3;3;1;-;1
230470;-;-;-;-;-;-;-;-;-;-;1;-
230495;1;-;-;-;-;-;-;-;-;-;-;-
230500;-;1;-;-;-;2;-;-;-;-;-;-
230510;-;1;-;-;-;-;-;-;-;-;-;-
230520;-;1;1;-;-;-;-;-;-;-;-;-
230523;-;1;-;1;-;1;-;-;-;-;-;-
230530;-;1;-;-;-;-;-;-;-;1;-;-
230535;-;-;-;-;-;1;-;-;-;-;1;-
230540;-;-;-;-;-;-;1;-;1;-;-;1
230550;1;1;-;-;-;2;-;-;1;-;1;1
230560;-;1;-;-;-;-;-;-;-;-;-;-
230565;-;-;-;-;-;-;1;-;-;-;-;-
230580;-;-;-;-;-;1;-;1;-;-;-;1
230590;-;-;-;-;-;-;-;-;-;-;1;-
230600;-;-;-;-;-;-;-;1;-;-;-;-
230610;-;-;-;-;-;-;-;-;-;-;1;-
230625;-;-;-;-;1;-;-;1;-;-;-;-
230630;-;-;-;-;-;2;1;-;-;-;-;-
230640;1;1;-;1;-;-;-;1;-;-;-;-
230660;-;1;-;-;1;-;-;-;-;-;-;-
230670;-;-;-;-;-;-;-;-;-;-;1;-
230700;-;-;-;1;-;-;-;-;1;-;-;-
230730;-;2;1;1;-;1;1;-;-;1;-;-
230750;-;-;-;-;-;-;-;2;-;-;-;-
230760;1;-;-;-;-;-;-;-;1;-;-;-
230765;-;-;-;2;-;-;-;-;-;-;1;-
230770;1;2;-;2;-;1;-;-;-;-;1;1
230780;1;-;1;-;1;-;-;1;-;-;-;-
230800;-;-;-;-;-;-;-;-;-;-;-;1
230810;-;-;1;-;-;-;-;2;-;-;-;-
230830;-;-;1;-;-;-;-;-;-;-;-;-
230835;-;-;-;1;-;-;-;-;-;-;-;-
230850;-;1;-;-;-;-;-;-;-;-;-;-
230870;-;-;1;1;-;-;1;-;-;-;-;-
230900;-;-;-;-;-;-;1;-;-;-;-;-
230940;1;-;-;2;-;-;-;-;-;-;-;-
230950;-;-;-;-;-;-;-;1;-;1;-;-
230960;-;-;1;-;-;-;1;-;-;-;-;-
230970;1;1;-;-;-;-;-;-;1;-;-;-
231020;-;-;-;-;-;-;-;-;-;-;2;-
231030;2;-;-;-;-;-;-;-;-;-;-;-
231050;-;1;-;-;-;-;-;-;1;-;-;-
231070;-;-;-;-;-;-;-;-;-;1;-;1
231080;-;-;-;-;-;1;-;-;-;-;-;-
231095;-;-;-;-;-;-;-;-;1;-;-;-
231100;-;-;-;-;-;-;1;-;1;-;-;-
231110;-;-;-;-;-;-;1;-;-;-;1;-
231126;-;-;-;1;-;-;-;-;-;-;-;-
231130;-;-;1;-;-;-;-;-;-;1;-;-
231135;-;-;1;-;1;-;-;-;-;-;-;-
231140;-;-;-;1;1;-;-;-;1;1;2;-
231160;-;-;-;2;-;1;-;-;-;-;-;-
231170;-;1;-;-;-;-;-;-;-;-;-;-
231180;-;1;-;1;-;-;-;-;-;-;-;-
231220;-;-;-;-;1;-;-;-;-;-;-;-
231210;-;-;1;-;-;-;-;-;-;-;-;-
231230;1;-;1;-;-;-;-;1;-;-;-;-
231290;-;-;-;1;-;-;-;1;-;-;1;1
231300;-;-;-;-;-;-;-;1;-;-;-;-
231310;-;-;-;-;-;-;-;1;-;-;-;-
231320;-;-;-;-;-;-;1;-;-;-;-;-
231325;-;-;-;-;-;-;-;1;-;-;-;-
231335;-;-;-;-;-;1;-;-;-;-;-;-
231340;-;1;-;1;-;-;-;-;-;2;-;-
231350;-;-;-;1;-;-;-;-;-;-;-;-
231355;-;-;-;-;-;-;-;-;-;-;-;1
231360;-;-;-;-;-;1;-;-;-;1;-;1
231380;-;-;-;-;1;-;-;1;-;-;-;-
231395;-;1;-;-;-;-;-;-;-;-;-;-
231410;-;-;1;-;-;-;-;-;-;-;-;-
