Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;-;-;-;-;-;-;-;-;-;1
230015;-;-;-;-;1;1;-;-;-;-;-;2
230020;2;5;-;1;8;9;3;1;7;-;3;-
230030;1;3;-;-;-;1;4;2;2;1;1;2
230040;2;2;-;-;1;1;1;-;-;-;-;-
230050;-;-;1;1;-;-;-;-;-;1;-;-
230060;1;-;1;-;-;-;1;-;-;1;-;1
230070;-;1;-;-;3;2;-;1;-;-;1;-
230075;1;2;1;-;-;1;1;2;1;-;-;-
230080;-;-;-;-;-;-;1;2;-;-;-;1
230090;-;-;-;-;-;-;1;-;-;1;-;-
230100;1;2;-;1;1;-;-;-;-;2;-;-
230110;2;1;2;3;3;1;2;3;1;1;-;5
230120;1;1;1;-;1;-;2;-;1;-;-;-
230125;-;-;-;-;1;-;1;1;1;-;-;-
230130;-;1;-;3;1;-;2;1;-;-;1;1
230140;-;-;-;2;-;-;-;-;-;-;1;-
230150;-;-;-;-;-;-;-;-;-;1;-;-
230160;-;1;-;2;2;1;1;-;-;-;3;-
230170;2;3;-;-;3;1;1;-;-;-;1;-
230180;-;1;-;-;1;-;-;-;-;-;-;-
230185;-;-;-;1;-;1;-;-;-;-;-;-
230190;1;2;-;1;-;1;-;2;-;1;3;2
230195;2;-;1;2;-;1;1;2;1;-;1;-
230200;-;-;-;-;1;1;2;-;1;-;-;-
230205;1;1;-;-;-;1;1;-;1;-;2;-
230210;2;-;2;4;1;-;1;1;4;1;-;-
230220;-;1;2;-;3;1;1;2;1;-;1;2
230230;-;-;4;-;3;-;2;-;-;1;-;2
230240;4;1;5;5;7;4;2;5;2;2;3;3
230250;1;1;1;3;1;-;1;2;2;1;3;2
230260;3;3;3;2;4;2;5;2;2;2;2;-
230270;1;-;-;-;-;-;1;-;-;-;1;-
230280;2;4;2;7;-;1;4;5;1;2;3;1
230290;1;-;-;-;1;1;1;2;1;-;2;-
230300;1;-;1;1;-;1;1;-;1;1;-;-
230310;-;-;-;-;2;1;-;-;-;-;-;-
230320;3;2;4;1;3;3;1;1;-;-;-;-
