Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;1;-;1;1;1;1;2;-;3;2;-;5
230015;2;2;5;3;-;3;1;2;4;1;3;4
230020;11;8;8;7;10;10;8;7;9;13;5;9
230030;10;11;11;15;11;16;7;12;10;8;10;4
230040;3;4;4;1;1;2;7;3;-;6;2;2
230050;1;1;5;1;1;3;3;2;1;3;3;5
230060;1;1;3;-;-;1;1;1;2;3;2;3
230070;4;2;3;2;2;3;7;1;5;4;2;2
230075;2;2;2;3;1;3;6;5;3;6;5;2
230080;1;2;2;2;1;-;-;1;3;2;1;-
230090;1;5;1;4;1;1;1;6;1;2;2;2
230100;7;5;8;8;11;16;8;8;6;9;8;7
230110;10;15;14;5;11;15;6;10;7;9;6;7
230120;4;3;6;6;5;7;4;3;3;2;4;4
230125;2;1;4;2;2;2;1;1;3;-;1;2
230130;5;4;9;4;8;5;2;5;4;4;4;3
230140;-;2;2;2;-;-;-;3;-;-;-;1
230150;2;1;3;-;2;1;3;-;1;3;-;1
230160;3;3;3;7;6;3;3;2;-;4;1;3
230170;3;5;5;3;4;3;1;1;2;5;2;4
230180;2;2;2;-;2;-;2;-;2;2;1;1
230185;3;3;1;2;2;1;2;3;-;1;-;1
230190;11;10;8;10;11;8;11;10;13;11;5;6
230195;3;-;2;3;2;4;2;4;2;1;4;2
230200;3;1;3;5;3;5;2;2;2;5;6;7
230205;3;1;2;6;1;3;1;-;1;5;4;5
230210;6;4;7;-;7;9;9;14;4;7;4;6
230220;13;6;6;6;9;10;7;12;8;11;9;5
230230;3;3;9;5;4;3;1;4;5;6;3;7
230240;12;7;10;12;11;9;11;10;8;8;7;9
230250;5;3;6;7;6;8;10;10;7;11;7;7
230260;13;10;10;15;13;7;9;3;7;10;14;8
230270;3;3;5;9;3;8;6;2;3;5;7;6
230280;10;14;16;12;12;6;9;11;7;14;10;12
230290;3;4;6;1;7;5;2;1;3;3;-;-
230300;3;2;2;1;2;4;2;4;2;2;2;2
230310;5;2;2;4;3;2;2;3;4;5;-;1
230320;4;5;3;4;3;10;5;6;3;5;5;8
230330;1;2;2;4;2;-;5;3;2;2;5;2
230340;3;3;4;3;6;5;3;6;1;2;1;1
230350;8;10;11;14;12;9;10;8;9;16;9;10
230360;4;3;3;3;-;4;7;3;2;1;6;-
230365;2;1;1;4;2;4;-;3;1;1;3;-
230370;38;19;34;32;33;37;27;34;38;36;42;38
230380;6;5;4;4;8;7;3;2;4;7;6;3
230390;1;5;2;2;1;2;1;3;2;1;2;2
230393;-;2;4;1;-;1;1;2;2;-;3;3
230395;3;4;4;4;4;4;1;8;3;1;3;-
230400;1;4;4;1;3;1;3;3;2;-;5;2
230410;13;17;9;13;12;14;14;9;12;10;13;8
230420;20;21;26;24;26;21;16;25;20;17;17;17
230423;4;2;2;1;4;3;5;4;2;1;2;3
230425;3;1;2;3;4;4;1;9;5;3;8;3
230426;2;3;2;1;2;1;3;3;1;2;2;5
230427;1;-;2;2;-;1;-;-;-;1;1;1
230428;4;5;7;6;2;6;5;2;10;4;5;3
230430;2;7;4;1;3;3;6;-;5;4;-;1
230435;3;1;1;2;1;2;-;2;1;2;-;4
230440;248;258;286;315;288;267;263;296;253;261;267;286
230445;2;2;3;2;3;2;1;3;4;2;5;1
230450;3;3;1;3;1;4;3;3;1;5;4;1
230460;-;-;3;1;2;2;1;3;1;3;4;-
230465;1;5;4;2;5;3;2;2;-;-;4;3
230470;5;4;9;11;2;7;3;8;5;8;8;10
230480;1;-;-;-;-;2;1;1;-;-;2;1
230490;-;2;3;1;-;-;4;2;-;1;1;2
230495;3;4;3;3;5;2;2;5;5;3;3;5
230500;6;7;8;8;10;6;9;2;7;6;6;7
230510;1;2;1;-;-;1;1;1;-;-;2;1
230520;3;4;5;7;5;7;3;4;7;5;6;9
230523;8;9;5;2;5;7;4;7;6;3;7;4
230526;-;-;2;-;1;3;2;3;1;1;1;1
230530;7;5;7;4;6;4;5;7;5;2;5;2
230533;2;1;2;3;1;2;1;6;2;1;-;2
230535;4;2;4;1;1;3;1;1;3;2;1;1
230540;14;15;14;16;13;10;12;10;10;14;18;11
230550;13;16;18;25;21;13;29;20;20;23;14;18
230560;3;6;5;4;2;1;10;4;5;5;2;3
230565;3;1;3;4;1;3;1;-;5;5;1;5
230570;3;3;3;4;5;3;1;2;2;2;1;-
230580;9;10;6;4;16;9;10;5;2;5;1;4
230590;11;13;11;10;8;12;10;11;9;9;8;8
230600;2;1;4;3;3;2;6;1;2;3;4;3
230610;3;4;6;3;2;1;2;4;5;3;1;1
230620;1;-;2;1;-;3;1;2;2;2;-;2
230625;2;3;2;4;5;4;4;8;3;3;3;4
230630;9;9;3;8;4;5;13;3;7;7;4;7
230640;13;14;22;18;18;18;18;11;9;14;9;17
230650;1;1;1;2;-;2;5;3;1;3;2;1
230655;5;6;4;2;1;7;5;7;9;14;3;3
230660;3;6;3;2;3;3;3;3;4;4;4;3
230670;4;4;3;3;3;4;1;2;4;5;4;2
230680;1;2;-;-;1;3;1;2;3;1;-;1
230690;6;10;5;9;16;6;9;7;9;15;7;6
230700;9;4;6;5;2;4;2;7;3;7;5;1
230710;5;1;3;4;3;4;5;4;2;11;5;3
230720;2;-;1;1;-;-;1;1;1;1;-;-
230725;1;1;3;2;4;5;2;-;2;1;3;2
230730;38;48;38;47;62;61;48;26;34;41;51;32
230740;4;5;3;5;1;5;2;2;2;2;-;4
230750;8;4;4;3;4;4;5;6;9;3;3;8
230760;7;11;11;6;8;12;10;8;13;9;6;4
230763;4;4;3;7;8;-;-;8;4;-;3;2
230765;36;27;25;21;20;19;22;32;34;20;19;21
230770;9;11;9;21;8;13;11;13;5;16;18;13
230780;3;5;-;1;2;2;2;1;3;3;3;1
230790;1;-;-;1;1;-;2;2;3;2;-;-
230800;12;5;6;10;10;5;4;5;3;5;2;6
230810;3;4;8;4;10;6;6;3;4;4;8;1
230820;-;3;3;-;-;4;3;3;2;1;5;2
230830;7;5;5;1;4;4;4;3;7;4;6;5
230835;2;4;4;3;2;4;3;1;3;2;3;3
230837;2;4;1;-;4;3;2;-;1;1;2;2
230840;4;8;3;5;6;4;5;3;4;5;5;6
230850;10;10;14;14;9;11;15;12;6;11;8;9
230860;3;2;5;2;6;4;2;5;4;2;3;2
230870;15;9;16;4;16;7;8;12;9;8;13;19
230880;1;-;1;-;-;-;1;1;1;-;-;1
230890;3;4;3;5;-;5;5;1;2;3;4;1
230900;3;3;2;3;2;-;3;1;4;4;2;-
230910;2;-;1;2;-;1;5;2;-;-;1;-
230920;-;3;3;4;3;4;-;1;1;1;1;2
230930;8;5;8;12;14;7;5;8;8;4;8;10
230940;4;8;8;4;7;10;8;6;7;10;5;8
230945;2;2;5;4;5;4;2;5;3;7;4;3
230950;7;5;6;2;4;7;5;7;10;5;7;3
230960;8;8;7;6;15;4;5;7;4;5;3;2
230970;8;3;8;8;11;15;9;7;3;7;6;2
230980;3;2;3;-;1;2;1;4;2;-;1;-
230990;-;1;2;1;2;2;2;1;-;1;1;1
231000;-;1;5;1;-;1;-;3;2;-;1;3
231010;-;1;2;2;-;1;1;1;3;4;4;3
231020;7;4;2;5;2;9;8;9;2;10;2;8
231025;2;5;6;4;3;6;5;4;2;1;5;2
231030;3;3;7;3;4;6;2;6;3;11;10;3
231040;2;2;2;1;3;1;2;2;3;3;5;-
231050;11;6;2;15;5;12;4;8;7;11;6;4
231060;1;-;-;1;-;7;-;1;3;1;1;1
231070;1;5;1;-;5;4;4;3;3;4;4;6
231080;3;4;7;6;3;5;4;4;4;2;2;1
231085;2;3;4;2;4;2;4;-;2;2;5;4
231090;6;5;5;3;2;1;7;5;2;-;2;2
231095;-;4;4;2;2;3;1;1;-;2;1;3
231100;2;4;-;1;1;1;6;2;1;-;8;1
231110;1;2;5;4;3;3;3;-;1;3;1;3
231120;-;2;5;3;3;2;4;1;5;4;2;2
