Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230015;-;-;-;-;-;-;1;-;1;-;-;-
230020;1;1;-;1;-;-;-;-;1;-;-;-
230030;1;1;-;1;-;1;-;1;-;-;-;-
230040;-;1;-;-;-;-;-;-;-;-;1;-
230050;-;-;-;-;-;1;-;-;-;-;-;-
230070;-;-;-;-;-;-;-;1;-;-;-;-
230100;-;1;1;-;-;-;-;-;-;1;-;-
230110;-;-;1;1;-;1;-;-;-;-;-;-
230120;2;2;-;-;-;-;1;-;-;-;-;-
230125;-;-;-;-;-;-;-;2;1;1;-;-
230130;1;1;-;1;1;-;-;-;-;-;-;-
230140;-;-;-;1;-;-;-;-;-;-;-;-
230160;-;-;-;-;-;1;-;-;-;-;-;-
230170;1;-;2;-;-;-;-;-;-;-;-;1
230185;1;-;-;-;-;-;-;-;-;-;-;-
230190;-;-;-;-;2;-;1;-;-;-;-;-
230195;-;-;1;1;-;-;-;-;1;-;-;-
230205;-;-;-;-;-;-;-;-;-;1;-;2
230210;-;-;-;2;-;1;-;-;-;-;-;-
230220;-;-;-;1;-;1;-;-;-;-;-;-
230240;2;-;2;1;1;2;-;1;1;1;-;-
230250;2;-;-;1;-;-;-;1;-;1;-;1
230260;-;-;1;-;-;-;2;-;-;2;-;3
230270;1;1;-;-;3;1;-;-;-;-;-;-
230280;1;-;1;1;2;2;2;-;-;1;1;-
230290;-;-;-;-;1;-;-;1;-;-;-;-
230310;-;-;1;-;-;-;-;-;-;-;-;-
230320;-;-;1;-;-;-;-;-;-;-;-;-
230330;-;-;-;-;-;1;-;-;-;-;-;-
230340;-;1;-;-;-;-;-;-;-;-;-;-
230350;-;-;-;-;1;-;-;-;-;-;-;-
230360;-;-;1;-;-;-;-;-;-;1;-;-
230370;2;1;1;-;-;-;1;-;-;-;1;3
230380;-;-;1;-;1;-;-;-;-;-;-;1
230393;2;-;-;-;-;-;-;-;-;-;-;-
230395;-;-;-;-;1;-;-;-;-;-;-;-
230400;-;-;-;1;-;1;-;1;-;-;-;-
230410;2;3;-;-;2;-;-;-;-;-;5;3
230420;-;-;2;-;1;-;-;1;2;1;-;1
230423;-;-;1;-;-;1;-;-;-;-;-;-
