Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230015;-;-;-;-;-;1;-;-;-;-;-;-
230020;-;-;1;-;-;-;1;-;-;-;-;1
230030;-;-;1;-;-;-;1;-;-;1;1;-
230050;-;-;-;-;-;1;1;-;-;-;-;-
230070;-;1;-;1;-;-;-;-;-;-;-;-
230075;-;-;-;2;-;2;1;2;1;-;-;-
230100;-;1;-;-;1;1;-;-;1;-;-;-
230110;-;-;1;2;-;-;-;-;-;-;2;-
230120;-;-;-;-;-;-;-;1;-;-;-;1
230130;-;1;-;-;-;-;-;-;-;1;-;-
230140;-;-;-;-;-;-;-;1;-;-;-;-
230160;1;-;-;1;-;1;1;-;-;-;-;-
230170;-;-;-;-;-;-;1;-;-;-;-;-
230190;-;-;-;1;2;-;-;-;-;-;1;-
230195;-;2;-;1;-;-;-;-;1;-;-;-
230200;-;-;-;-;-;-;-;-;-;1;-;-
230205;-;-;-;-;-;-;-;-;-;-;2;-
230210;-;-;-;-;-;1;-;-;-;-;1;-
230220;1;-;-;-;-;-;2;1;-;-;-;-
230230;-;1;-;1;-;-;-;-;-;1;-;-
230240;-;-;3;-;-;1;1;-;-;-;-;1
230250;-;-;1;-;1;1;1;-;-;-;-;-
230260;-;2;1;-;-;-;-;-;-;-;-;1
230270;-;-;-;-;1;1;-;-;-;-;-;-
230280;-;1;-;1;-;1;-;-;1;1;1;1
230290;-;-;-;-;-;-;-;-;-;1;-;1
230300;-;-;-;-;1;-;-;-;-;-;-;-
230310;-;-;-;-;-;-;-;-;-;1;-;-
230320;-;-;-;-;-;-;-;-;-;-;-;1
230330;-;1;-;-;-;-;-;-;-;-;-;-
230340;-;-;-;-;-;-;-;1;-;1;-;-
230350;-;-;-;1;-;-;-;-;1;-;3;1
230365;-;1;1;1;-;1;-;-;-;-;-;-
230370;2;-;7;-;2;2;3;5;2;2;4;1
230380;-;-;1;-;-;-;-;-;-;-;1;-
230390;-;-;-;-;-;1;-;-;-;-;-;-
230393;1;-;-;-;-;-;-;-;-;-;-;-
230400;-;-;-;-;-;1;-;-;-;-;1;-
230410;-;-;-;1;-;-;-;1;-;1;-;-
230420;-;-;-;-;2;2;-;6;1;1;1;-
230423;-;-;-;1;-;1;-;-;-;-;-;-
230425;-;-;-;1;-;1;-;-;-;-;-;-
230427;-;-;-;-;-;-;1;-;-;-;-;-
230428;1;-;-;1;-;-;-;1;-;-;-;1
230430;-;-;-;-;-;1;-;-;-;-;-;1
230435;-;-;-;-;-;1;1;-;-;-;-;-
230440;25;25;26;40;27;40;25;37;27;21;29;26
230445;-;1;-;-;-;1;-;-;-;-;-;-
230450;-;-;-;-;-;1;-;-;-;-;-;-
230460;-;-;-;-;-;-;-;-;-;1;-;-
230465;1;-;1;-;-;1;-;-;-;-;-;-
230470;-;-;1;-;-;-;1;-;-;-;-;-
230490;-;1;-;-;-;-;-;-;-;-;-;-
230495;-;1;1;-;-;-;1;-;-;-;1;-
