Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;1;-;-;-;-;1;-;-;-;-
230015;-;2;-;1;-;-;2;-;-;-;-;1
230020;2;3;4;6;7;2;2;3;2;2;2;3
230030;2;3;3;3;1;2;1;-;4;1;2;3
230050;-;1;2;1;1;1;3;1;-;-;-;1
230060;1;-;-;2;-;-;-;3;1;2;-;-
230070;-;-;-;2;1;-;-;1;-;-;1;1
230075;-;-;1;3;3;2;1;-;-;2;-;-
230080;-;-;-;-;-;-;-;1;-;1;-;-
230090;-;-;-;-;2;-;1;-;2;-;-;-
230100;2;2;2;-;4;1;3;3;2;4;2;-
230110;5;3;3;3;5;2;3;2;3;3;2;2
230120;1;1;1;2;4;2;-;1;-;-;1;1
230125;-;-;-;1;-;1;-;-;1;1;-;1
230130;-;1;2;1;-;-;-;1;2;2;-;-
230140;-;1;-;-;-;2;-;1;1;-;-;2
230150;2;2;-;1;-;1;-;-;-;-;1;-
230160;4;-;1;1;1;1;-;4;-;3;-;2
230170;1;-;4;1;-;6;-;2;3;4;-;2
230180;-;-;-;-;1;-;-;-;-;-;-;-
230185;-;1;1;-;-;2;-;1;-;-;-;-
230190;3;1;4;-;2;4;1;2;1;5;5;3
230195;1;3;1;1;-;-;2;-;3;1;-;2
230200;-;1;-;4;4;-;2;1;-;2;1;-
230205;1;1;1;-;-;-;-;1;1;-;-;1
230210;3;-;1;1;1;4;1;2;1;-;-;1
230220;2;3;2;2;2;2;3;3;4;5;3;1
230230;1;4;1;2;1;2;2;-;-;2;1;2
230240;2;1;2;4;2;1;2;1;3;2;2;3
230250;2;1;3;1;2;4;2;4;1;2;3;3
230260;1;2;7;4;3;2;3;3;-;2;1;3
230270;3;3;-;1;1;1;1;-;1;-;-;-
230280;4;3;3;2;3;-;6;1;5;6;4;2
230290;1;-;-;-;1;1;-;-;1;-;-;-
230300;-;1;2;-;1;-;1;1;1;3;-;-
230310;1;1;1;-;1;1;1;1;2;-;1;1
230320;2;-;2;1;2;3;1;3;1;1;1;1
230330;-;2;-;-;2;1;1;1;1;1;-;-
230340;2;-;1;-;-;2;-;1;-;4;-;3
230350;1;3;2;3;2;2;2;3;3;5;3;3
230360;-;-;-;-;-;-;-;-;-;-;-;1
230365;-;-;2;-;-;1;-;-;-;-;-;-
230370;14;16;14;10;15;12;18;16;20;17;20;19
230380;1;1;1;-;1;1;2;-;1;2;-;6
230390;2;-;1;-;-;1;-;-;1;-;1;-
230393;-;-;-;-;-;-;-;-;-;1;-;-
230395;-;-;-;1;-;-;-;-;1;-;1;1
230400;-;-;4;1;3;1;1;-;-;-;-;1
230410;2;2;6;5;5;2;4;4;6;5;5;5
230420;7;6;5;3;2;10;9;13;9;10;7;12
