Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;-;-;1;-;-;1;-;-;-;1
230015;-;2;1;-;-;-;-;-;1;-;-;-
230020;-;1;1;1;2;-;-;-;-;2;1;-
230030;-;-;1;1;3;2;2;1;2;1;1;1
230040;-;-;1;1;-;1;-;-;2;-;-;-
230050;1;-;-;-;-;-;1;-;1;-;-;-
230060;1;-;1;-;-;-;-;-;-;-;-;-
230070;1;1;-;1;-;-;-;-;-;-;-;-
230075;-;-;-;1;-;-;-;-;1;-;-;1
230080;1;-;-;-;1;1;-;1;-;-;-;1
230090;-;-;-;-;-;-;-;-;-;-;-;2
230100;-;1;-;1;1;1;-;2;-;-;-;-
230110;-;-;2;-;2;1;1;2;1;-;1;-
230120;1;-;-;-;-;-;1;1;1;-;1;-
230125;-;-;1;-;-;-;-;-;-;-;-;-
230130;-;-;-;-;-;-;-;-;-;1;-;-
230140;-;1;-;-;1;-;1;1;1;-;-;-
230150;-;-;-;1;-;-;-;-;-;-;-;-
230160;1;-;-;-;-;-;2;-;1;-;-;-
230170;-;2;1;2;1;1;3;-;1;-;2;2
230180;1;1;-;-;-;-;1;1;-;-;1;-
230185;-;-;1;2;-;-;-;-;-;-;1;-
230190;-;2;3;1;2;-;3;1;3;-;2;1
230195;-;-;-;-;-;1;-;1;-;-;-;-
230200;2;2;-;-;-;2;1;-;1;-;-;-
230205;-;-;-;-;-;-;1;2;-;-;1;-
230210;-;-;-;2;1;-;-;-;3;-;2;3
230220;-;1;-;1;2;1;-;1;-;1;2;-
230230;2;1;-;-;1;-;-;-;1;-;2;1
230240;1;-;1;-;-;3;1;-;1;-;3;1
230250;2;1;1;1;-;2;2;-;-;2;-;2
230260;-;1;-;2;2;-;2;2;1;3;1;4
230270;1;1;2;1;1;1;2;1;1;-;1;1
230280;-;-;2;2;4;3;3;2;-;2;-;1
230290;-;-;-;-;-;1;-;-;-;-;-;2
230300;2;-;-;-;-;1;-;-;1;-;-;-
230310;1;1;-;-;2;-;-;-;-;-;2;-
230320;-;-;-;-;-;-;-;1;4;1;-;1
230330;-;-;-;1;1;-;-;1;-;1;-;-
230340;-;1;-;-;1;1;-;1;-;-;-;-
230350;1;-;1;-;1;-;2;-;2;1;2;1
230360;-;-;-;1;-;-;-;-;-;1;-;-
230365;-;-;-;-;1;1;-;-;-;-;-;-
230370;8;3;5;6;1;2;5;2;4;7;6;1
230380;-;1;1;-;-;1;1;-;2;1;1;-
230390;1;-;1;1;-;-;-;1;2;-;-;-
230395;-;-;1;-;1;1;-;-;-;-;-;2
230400;-;-;-;2;1;-;-;2;-;2;-;-
230410;3;1;1;2;1;1;-;1;2;2;5;1
230420;1;2;2;1;2;4;2;3;5;2;1;3
230423;-;1;-;1;-;-;-;-;1;-;-;-
230425;-;-;1;-;-;-;-;-;-;1;1;-
230427;-;-;-;-;-;-;1;-;-;1;-;-
230428;3;3;1;-;2;-;1;1;-;-;-;-
230430;-;-;2;-;1;-;-;1;-;-;-;1
230440;38;36;41;47;55;35;45;54;46;56;46;55
230445;-;1;-;-;1;-;-;-;1;-;-;-
230450;-;1;-;-;-;1;-;1;-;-;-;-
230460;-;1;-;-;-;-;-;-;1;-;-;1
230465;-;1;1;-;1;-;-;-;-;-;-;-
230470;1;1;1;-;3;-;1;1;-;-;-;1
230480;-;-;-;-;-;-;-;-;-;-;-;1
230490;-;-;1;-;1;-;-;-;-;1;-;-
230495;1;-;1;-;2;-;-;-;-;1;-;-
230500;-;1;-;-;-;-;-;3;-;-;-;-
230510;-;-;-;-;-;1;-;-;-;-;-;-
230520;-;2;-;1;-;-;-;-;-;1;-;-
230523;-;-;1;2;-;2;-;1;1;1;1;1
230526;-;-;-;-;-;-;1;-;-;-;1;-
230530;-;-;-;3;3;1;1;-;-;1;-;1
230533;1;2;-;-;-;-;-;-;-;-;-;2
230535;-;1;-;-;1;-;-;-;-;1;-;-
230540;-;2;1;1;3;2;1;4;-;4;1;3
230550;4;1;1;3;3;1;2;4;-;3;3;2
230560;-;1;1;1;-;-;1;1;-;1;-;-
230565;-;-;1;-;-;-;-;-;-;-;-;-
230570;-;-;-;-;-;-;-;-;-;-;-;1
230580;2;2;1;-;-;1;-;1;-;2;-;-
230590;2;1;-;2;-;1;-;1;1;1;-;2
230600;-;1;-;-;-;1;-;-;-;-;-;1
230610;-;-;-;-;1;-;-;-;-;-;-;1
230620;-;-;-;-;-;1;-;1;-;-;-;-
230625;1;-;-;1;-;-;-;-;-;-;-;-
230630;-;3;-;-;1;2;-;1;-;-;1;-
230640;1;3;2;3;-;3;3;2;1;-;1;2
230650;1;-;-;-;-;1;-;1;-;-;-;-
230655;-;1;1;-;-;-;1;-;1;-;-;1
230660;-;1;-;-;-;1;1;-;1;1;-;-
230670;-;1;-;2;-;-;-;-;-;1;1;1
230690;-;-;-;1;-;3;1;-;1;-;-;2
230700;-;1;-;2;-;1;2;-;-;-;1;2
230710;1;1;1;1;-;-;-;-;-;-;-;-
230720;1;-;1;-;-;1;-;-;-;-;-;-
230725;-;1;-;-;1;-;-;1;1;-;1;-
230730;10;6;6;9;6;7;5;8;6;7;9;7
230740;1;-;-;-;2;1;-;1;-;-;1;1
230750;-;-;-;-;-;-;-;-;1;-;-;-
230760;-;-;2;-;-;2;-;1;1;1;2;-
230763;-;-;-;-;-;-;1;-;1;-;-;1
230765;3;1;2;1;4;2;3;3;2;4;1;8
230770;2;-;2;3;3;3;1;-;2;2;2;4
230780;1;2;-;1;3;-;1;-;1;1;-;-
230790;1;1;-;-;-;-;-;-;-;-;-;-
230800;-;-;1;1;-;-;-;1;-;-;-;-
230810;1;-;2;-;-;-;4;1;1;1;1;2
230820;-;1;1;-;-;2;-;1;-;1;-;-
230830;1;1;-;-;-;-;-;1;-;1;1;-
230835;1;1;-;-;-;-;-;-;-;1;-;-
230837;-;-;-;1;-;-;-;-;-;-;-;-
