Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230030;1;-;-;-;-;-;-;-;-;-;-;-
230075;-;-;-;-;-;-;-;-;1;-;-;-
230090;1;-;-;-;-;-;-;-;-;-;-;-
230100;-;1;-;-;-;-;-;-;-;-;-;-
230110;-;-;1;1;1;-;-;1;-;1;-;-
230120;1;-;-;-;-;-;-;-;-;-;-;-
230125;-;-;-;-;1;-;-;-;-;-;-;-
230170;-;-;-;-;-;-;-;1;-;-;-;-
230230;-;1;-;1;-;-;-;-;-;-;-;-
230240;-;1;1;-;-;-;-;-;-;-;-;-
230250;-;-;-;-;-;-;-;-;3;-;-;-
230260;-;-;-;-;1;-;-;-;-;-;-;-
230300;-;-;-;-;1;-;-;-;-;-;-;-
230310;1;-;-;-;-;-;-;-;-;-;-;-
230320;-;-;-;-;-;-;-;1;-;-;-;-
230340;-;-;1;-;-;-;-;-;-;-;-;-
230370;-;-;1;-;1;1;-;-;-;-;-;2
230395;-;-;-;-;-;-;-;1;-;-;-;-
230400;-;-;1;-;-;-;-;-;-;-;-;-
230410;-;1;-;-;1;-;-;1;1;-;-;1
230435;-;-;-;1;-;-;-;-;-;-;-;-
230440;4;5;7;9;3;4;3;3;1;5;5;3
230445;-;1;-;-;-;-;-;-;-;-;-;-
230465;-;1;-;-;-;-;-;-;-;-;-;-
230495;-;-;-;-;-;1;-;-;-;-;-;1
230500;-;-;-;-;-;-;-;1;-;-;-;-
230510;-;-;1;-;-;-;-;-;-;-;-;1
230520;-;-;-;-;-;1;-;-;-;-;-;-
230526;-;-;-;-;1;-;-;-;-;-;1;-
230540;-;-;-;-;-;-;-;-;-;-;-;1
230550;-;-;1;1;1;-;-;-;-;-;-;-
230590;-;-;-;1;-;-;-;-;-;-;-;-
230620;-;-;-;-;-;-;1;-;-;-;-;-
230625;-;-;-;-;-;-;-;-;-;1;-;-
230630;-;-;-;-;-;1;1;-;-;-;-;-
230640;-;-;-;-;-;1;-;1;-;-;-;-
230660;-;-;-;-;-;1;-;-;-;-;-;-
230700;-;1;-;-;-;-;-;-;-;-;-;-
230730;1;-;-;-;-;-;-;-;-;-;-;-
230740;-;-;-;-;1;-;-;-;-;-;-;-
230750;-;-;-;-;-;-;-;-;-;1;-;-
230760;-;-;-;-;-;1;1;-;-;-;-;1
230765;1;1;-;-;-;-;-;-;-;-;1;-
230770;-;-;-;-;-;-;-;-;-;1;-;1
230800;-;-;-;-;-;-;-;-;-;-;1;-
230810;-;-;-;1;-;-;-;-;-;-;-;-
230835;-;-;-;-;1;-;-;-;-;-;-;-
230870;-;1;2;-;1;-;-;-;-;-;-;-
230890;-;-;-;-;-;-;-;-;-;-;1;-
230910;-;-;-;-;-;-;-;1;-;-;-;-
230960;-;-;1;-;-;-;-;-;-;-;-;-
230980;-;-;-;-;-;-;-;-;1;-;-;-
231030;-;-;-;-;-;-;-;1;-;-;-;-
231050;-;-;-;1;1;-;-;-;-;-;-;-
231070;-;-;-;-;-;-;-;-;2;-;-;-
231100;-;-;-;-;-;-;-;-;-;-;1;-
231130;-;-;-;-;-;-;-;-;1;-;-;-
231135;-;1;1;-;-;-;-;-;-;-;-;-
231140;-;1;1;-;-;-;-;-;-;1;-;-
231170;-;-;-;1;-;-;-;-;-;-;-;-
231195;-;-;-;-;-;-;1;-;-;-;-;-
231220;-;1;-;-;-;-;-;-;-;-;-;-
231200;-;-;-;-;1;-;-;-;-;-;-;-
231240;-;1;-;-;-;-;-;1;-;-;-;-
231260;1;-;-;-;-;-;-;-;-;-;-;-
231290;-;-;-;-;-;-;2;-;-;-;1;-
231300;-;-;-;1;-;-;-;-;1;-;-;-
231310;-;-;-;-;-;-;-;-;-;2;-;1
231320;-;1;-;-;-;-;-;-;-;-;-;-
231335;-;-;-;-;-;-;-;-;1;-;-;-
231350;-;-;-;-;-;-;-;1;-;-;-;-
231360;-;-;-;-;1;1;-;-;-;-;-;-
231370;-;-;-;-;-;-;1;-;-;-;-;-
231395;-;-;-;-;-;-;1;-;-;-;-;-
231400;1;-;-;-;-;-;-;-;-;-;-;-
231410;-;-;-;-;-;2;2;-;-;-;-;-
