Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230040;-;1;-;-;-;-;-;-;-;-;-;-
230075;-;-;-;-;-;-;1;1;-;-;-;1
230080;-;-;-;-;-;-;-;-;1;-;-;-
230100;-;-;-;-;-;-;-;1;-;-;-;-
230110;-;-;-;-;-;1;-;-;-;-;-;-
230120;-;-;-;1;-;-;1;-;-;-;-;-
230130;-;-;-;-;-;-;-;-;1;-;-;-
230170;-;-;-;-;-;-;-;-;-;1;-;-
230190;-;-;-;-;-;-;-;-;-;1;-;-
230200;-;-;1;-;-;-;-;-;-;-;-;-
230210;-;-;-;-;1;-;-;-;-;1;-;-
230240;-;-;-;-;1;-;-;1;-;-;-;-
230250;-;-;-;-;-;-;1;-;-;-;-;1
230280;-;-;1;-;-;-;-;1;1;-;1;-
230320;-;-;-;1;1;-;-;-;-;-;-;1
230330;-;1;-;-;-;-;-;-;-;-;-;-
230350;1;1;-;-;-;-;1;-;-;-;-;-
230370;1;1;-;1;2;-;-;1;-;-;-;1
230420;1;-;-;-;-;1;-;-;-;1;-;-
230423;-;-;-;-;-;-;-;-;1;1;-;-
230430;-;1;-;-;-;-;-;-;-;-;-;-
230440;2;4;8;7;5;5;11;10;8;8;5;4
230470;-;-;-;-;1;-;-;-;-;-;1;-
230500;-;-;-;-;-;-;-;1;-;-;-;1
230520;1;-;-;-;-;-;-;-;-;-;-;-
230530;-;-;-;-;-;-;-;-;-;-;1;-
230535;-;-;-;1;-;-;-;-;-;-;-;-
230540;-;-;-;-;1;-;-;-;-;-;1;-
230550;-;-;-;-;-;-;-;-;1;-;-;-
230560;-;-;-;-;-;-;1;-;-;-;-;-
230570;1;-;-;-;-;-;-;-;-;-;-;-
230580;-;-;1;-;-;1;-;2;-;-;-;-
230610;-;-;-;-;-;1;1;-;-;-;-;-
230630;-;-;1;-;-;-;-;-;-;-;-;-
230640;-;-;-;2;1;1;-;-;-;1;2;-
230660;-;-;-;1;-;-;-;-;-;-;-;-
230680;-;-;-;-;-;-;1;-;-;-;-;-
230700;-;-;-;-;-;-;-;-;1;-;-;-
230710;-;-;-;-;-;-;-;-;-;-;1;-
230725;-;-;-;-;-;-;1;-;-;-;-;-
230730;1;-;1;-;1;1;1;1;1;-;-;-
230740;-;1;-;-;-;-;-;-;-;-;-;-
230760;-;-;-;-;-;-;-;-;-;-;-;1
230763;-;-;1;1;-;-;-;-;-;-;-;-
230765;-;-;-;-;-;-;-;-;-;1;-;1
230770;-;-;-;-;-;-;-;-;-;-;1;-
230810;-;-;-;-;-;1;-;-;-;-;-;-
230830;-;-;1;-;-;-;-;-;-;-;-;-
230835;-;-;-;-;-;-;-;-;-;1;-;-
230840;1;-;-;-;-;-;1;-;-;-;1;-
230860;-;-;-;-;-;-;-;-;-;-;-;1
230870;-;-;-;-;-;1;-;-;-;-;-;-
230900;-;-;-;1;-;-;-;-;-;-;-;-
230910;-;-;-;-;-;-;-;-;1;-;-;-
230940;-;-;-;-;-;-;-;-;-;-;-;1
230950;-;-;1;-;-;-;-;-;-;1;-;-
230960;-;-;-;-;-;-;-;-;1;-;-;-
230970;-;-;-;1;-;-;-;-;-;-;-;1
230990;-;-;-;-;-;1;-;-;-;-;-;-
231020;-;-;-;-;-;-;-;-;-;1;-;-
231025;-;-;-;-;1;-;-;-;-;-;-;-
231030;-;-;-;-;1;-;-;-;-;-;-;-
231070;-;-;-;1;-;1;-;-;-;-;-;-
231123;-;-;-;1;-;-;-;-;-;-;-;-
231130;-;-;1;-;-;-;-;-;-;-;-;-
231180;-;-;-;-;-;-;-;-;-;-;-;1
231230;-;-;1;-;-;-;-;-;-;-;-;-
231240;-;-;-;-;-;-;1;-;-;-;-;-
231290;-;-;1;-;-;-;-;1;-;-;-;-
231310;-;-;-;-;-;-;-;1;-;-;-;-
231320;-;-;-;-;-;-;1;-;-;-;-;-
231325;-;-;-;-;-;-;-;-;-;1;-;-
231335;1;-;-;-;-;-;-;-;-;-;-;-
231340;-;-;1;-;-;-;-;-;-;-;-;-
231390;-;-;-;-;-;1;-;-;-;-;1;-
