Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;-;-;-;-;-;-;-;-;1;-
230020;-;-;2;-;2;-;-;-;-;2;1;-
230030;-;-;-;1;1;-;-;1;1;1;-;1
230040;-;-;-;-;-;-;-;-;-;1;-;-
230050;-;-;1;-;-;1;-;-;-;1;1;-
230070;1;-;-;-;-;-;-;-;-;-;-;-
230090;-;-;1;-;-;-;-;-;-;-;-;-
230100;-;-;1;-;-;-;1;1;-;-;1;-
230125;-;-;-;-;1;-;-;-;-;-;-;-
230130;-;-;-;-;-;-;-;-;1;-;-;-
230160;-;-;1;-;-;1;-;-;-;-;1;-
230170;-;-;-;-;-;-;-;-;-;-;2;-
230180;1;-;-;-;-;-;-;-;-;-;-;-
230190;-;-;1;1;1;-;-;-;-;-;2;1
230200;1;-;-;-;-;-;-;-;-;-;1;-
230210;-;1;1;-;-;1;-;-;-;-;-;-
230220;-;-;-;-;-;-;-;-;1;-;-;1
230230;-;-;1;-;-;-;-;-;-;-;-;-
230240;-;-;-;-;-;1;1;-;-;1;-;-
230250;-;1;-;-;-;-;1;-;-;-;-;1
230260;-;-;-;1;-;-;-;-;-;1;-;-
230270;-;-;-;-;-;-;1;-;-;-;-;-
230280;1;1;2;1;-;1;3;-;4;1;1;1
230290;-;-;1;-;-;-;-;-;-;-;-;-
230300;1;1;-;-;-;-;-;-;-;-;-;-
230310;-;-;-;-;1;-;-;-;-;-;1;-
230320;-;-;-;1;-;1;-;-;-;-;-;-
230330;-;-;-;1;1;-;1;-;-;-;-;-
230340;-;-;1;-;-;-;-;-;-;-;-;-
230350;1;-;1;-;-;1;-;-;1;-;-;-
230360;-;-;-;-;-;-;-;-;1;-;-;-
230370;3;-;3;3;2;2;4;1;-;2;1;1
230380;1;-;-;-;1;-;-;-;-;-;-;-
230390;-;-;-;-;-;-;-;-;1;-;-;-
230393;-;-;-;-;1;-;-;-;-;-;-;-
230400;-;1;-;-;-;1;-;-;-;-;-;-
230410;-;2;1;-;2;-;1;-;2;-;2;2
230420;6;1;3;2;-;3;2;4;-;-;4;2
230423;1;-;-;-;1;-;-;-;-;-;-;-
230425;-;-;-;-;-;-;1;-;1;-;-;-
230427;-;-;-;-;-;-;-;-;-;-;-;1
230428;-;-;-;2;1;1;-;2;-;-;1;-
230430;-;-;-;-;1;-;1;-;-;-;-;1
230440;13;12;15;18;24;12;25;10;13;11;15;9
230445;-;-;-;-;-;-;-;-;1;-;-;-
230450;-;1;-;1;-;-;-;-;-;-;1;-
230465;-;-;-;-;-;1;-;-;-;-;-;-
230470;-;-;-;1;1;-;1;-;-;-;1;-
230500;-;2;-;1;-;1;-;-;-;-;3;1
230520;-;-;-;-;-;-;1;1;-;-;-;-
230523;-;-;-;1;-;-;1;-;-;-;-;-
230526;-;-;1;-;-;-;1;-;-;-;-;-
230530;1;-;-;1;-;-;1;-;-;1;1;-
230535;-;-;-;-;-;-;-;-;-;1;-;-
230540;-;-;-;2;4;-;-;1;2;1;2;-
230550;2;1;2;1;1;1;-;1;3;2;-;2
230560;-;-;-;-;-;1;-;-;-;-;-;-
230565;-;-;-;-;-;-;-;-;1;-;-;-
230580;-;2;-;-;-;1;-;-;1;-;-;-
230590;-;-;1;-;2;-;-;-;-;-;-;-
230625;-;-;-;-;-;-;-;-;-;1;-;-
230630;-;-;-;-;-;-;-;1;-;-;-;-
230640;1;-;-;-;-;-;1;-;1;-;-;-
230655;-;-;-;1;1;-;-;-;1;-;-;-
230660;1;-;-;-;-;-;-;-;-;-;-;2
230670;-;-;-;-;1;-;-;-;-;-;-;1
230680;-;-;-;-;-;-;1;-;-;-;-;1
230690;-;1;-;-;-;-;-;-;1;-;-;-
230700;-;-;-;1;-;1;-;-;-;-;-;-
230710;-;-;-;-;-;-;-;-;-;-;1;-
230720;-;-;-;-;1;-;1;-;-;-;-;-
230730;-;2;3;5;1;-;3;2;-;5;-;4
230740;-;-;-;-;-;-;-;-;-;1;-;-
230750;-;-;-;2;1;-;-;-;-;-;1;-
230760;-;1;1;-;-;-;-;-;1;-;-;-
230763;-;-;-;-;-;-;-;-;-;1;-;-
230765;1;-;2;1;-;1;2;1;1;1;3;3
230770;-;-;-;-;-;-;-;-;-;-;-;1
230780;-;-;-;-;1;-;-;-;-;-;-;-
230790;-;-;-;1;-;-;-;-;-;-;-;-
230800;-;1;-;1;-;1;1;-;-;1;-;-
230810;-;-;-;-;1;-;-;1;-;-;-;-
230820;1;-;-;-;1;-;-;-;-;-;-;1
230830;-;-;-;-;1;-;-;1;1;-;-;-
230835;-;-;-;-;-;-;-;1;-;-;-;1
230840;-;-;-;1;1;1;-;-;-;1;-;1
230850;-;-;1;-;-;-;-;-;-;-;-;-
230860;-;-;-;-;-;-;-;-;-;1;-;1
230870;1;3;1;1;-;-;1;2;3;1;-;-
230900;-;-;-;1;-;-;-;1;-;-;-;-
230930;-;-;2;-;1;-;-;-;1;-;-;-
230940;-;-;1;-;-;-;-;-;-;1;1;-
230945;-;-;1;-;-;-;-;-;-;-;-;-
230950;-;-;-;-;-;1;1;-;-;-;-;-
230960;-;-;-;-;-;1;-;-;-;1;1;-
230970;-;-;-;-;1;1;-;-;-;-;-;1
230980;-;-;-;-;1;-;-;-;-;-;-;-
230990;1;-;1;-;-;-;-;-;-;-;1;-
231020;-;-;-;-;1;-;-;-;-;-;-;-
231025;-;-;-;1;1;1;-;-;-;-;-;-
231030;1;-;-;-;-;1;-;-;-;1;-;-
231040;-;-;-;-;-;-;-;1;-;-;-;-
231050;-;-;-;2;-;-;-;1;-;-;-;-
231060;-;-;-;-;-;-;-;-;-;1;-;-
231070;-;-;-;-;-;-;-;-;-;-;-;1
231085;-;-;-;-;-;-;1;-;-;-;-;-
231090;-;-;1;-;-;-;-;-;-;-;-;-
231095;-;-;-;-;-;-;1;-;-;-;2;-
231100;-;-;-;-;-;-;-;1;-;-;-;1
231120;-;-;-;-;-;1;-;-;-;-;-;-
231130;1;1;1;-;1;1;1;1;-;-;-;1
231135;-;-;2;-;1;1;-;-;-;-;-;1
231140;-;-;1;1;2;1;-;1;-;-;1;-
231150;-;-;-;-;-;-;-;-;-;-;1;-
