Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230015;-;-;-;-;1;-;-;-;-;-;-;-
230050;-;-;-;1;-;-;-;-;-;-;-;-
230140;-;-;-;-;-;-;1;-;-;-;-;-
230205;-;-;-;-;-;-;1;-;-;-;-;-
230240;1;-;-;-;-;-;-;-;-;-;-;-
230250;-;-;-;-;-;1;-;-;-;-;-;-
230260;-;-;-;-;-;1;-;-;-;-;-;-
230320;-;-;-;-;-;-;-;-;-;-;1;-
230330;1;-;1;-;-;-;-;-;-;-;-;-
230350;-;-;-;-;1;-;-;-;-;-;-;-
230370;1;1;-;1;-;-;-;-;1;-;1;-
230380;-;-;-;1;-;-;-;-;-;-;-;-
230420;2;-;1;-;-;-;-;-;-;-;-;-
230426;-;-;-;-;1;-;-;-;-;-;-;-
230428;-;-;-;-;1;1;-;-;-;1;-;-
230430;-;-;1;-;-;-;-;-;-;-;-;-
230435;-;-;-;1;-;-;-;-;-;-;-;-
230440;6;-;5;1;4;1;2;1;1;2;2;-
230450;-;-;1;-;-;-;-;-;-;-;-;-
230470;-;-;-;-;-;1;-;-;-;-;-;-
230526;1;-;-;-;-;-;-;-;-;-;-;-
230550;-;-;1;-;-;-;1;-;-;-;-;-
230560;-;-;-;-;-;-;-;-;1;-;-;-
230580;-;-;-;-;-;-;-;-;-;1;-;-
230590;-;-;-;-;1;-;-;-;1;-;-;-
230600;-;-;-;-;-;-;-;-;1;-;-;-
230630;-;1;1;-;-;-;-;-;-;-;-;-
230640;-;-;-;1;-;-;-;-;-;-;-;-
230660;-;-;-;1;-;-;-;-;-;-;-;-
230730;-;-;-;-;-;2;-;-;-;-;-;-
230770;-;-;-;-;-;-;1;-;-;-;-;-
230810;-;-;-;-;-;-;-;-;-;-;1;-
230870;-;-;1;1;-;-;-;-;-;-;-;-
230940;-;-;-;-;-;-;-;-;-;1;-;-
231020;-;-;-;-;-;-;-;1;-;-;-;1
231025;-;-;-;-;-;-;1;-;-;-;-;-
231030;-;1;-;-;-;-;-;-;-;-;-;-
231070;-;-;-;-;-;1;-;-;-;1;-;-
231130;1;1;-;-;1;-;-;-;-;-;-;-
231160;1;-;-;-;-;-;-;-;-;-;-;-
231195;-;-;-;-;-;-;-;-;-;-;-;1
231200;-;-;-;-;-;-;-;-;1;-;-;-
231210;-;-;-;-;-;-;-;1;-;-;-;-
231230;1;-;-;-;-;-;-;-;-;-;-;-
231280;-;1;-;-;-;1;-;-;-;-;-;-
231290;-;1;-;-;-;-;-;-;-;-;-;2
231330;-;1;-;-;-;-;-;-;-;-;-;-
231360;-;1;1;-;-;-;-;-;-;-;-;-
231395;-;-;-;-;-;-;-;-;-;-;-;1
