Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;1;-;-;-;-;-;-;-;-;-;-;-
230020;3;-;4;-;-;-;1;-;2;-;-;-
230030;1;-;1;1;-;1;-;-;-;1;-;1
230040;1;1;-;-;-;-;-;1;-;-;1;-
230050;-;1;-;-;-;-;-;2;-;2;-;-
230060;-;-;-;1;-;-;-;-;-;-;-;-
230070;-;-;-;-;-;-;-;-;-;-;1;-
230075;2;-;-;-;-;-;1;-;-;-;2;-
230080;1;-;-;-;-;-;-;-;-;-;-;-
230090;-;-;-;-;-;1;-;-;-;-;-;-
230100;2;-;-;2;1;1;-;1;-;1;-;-
230110;-;-;-;-;-;2;1;-;-;-;-;1
230120;-;-;-;-;-;-;-;-;1;-;1;-
230125;-;-;-;-;-;-;-;-;1;-;-;-
230130;-;-;-;-;-;1;-;-;-;-;-;-
230140;-;1;-;-;-;-;-;-;-;-;-;-
230150;-;-;-;1;-;-;-;-;-;-;-;-
230160;-;-;-;-;-;-;1;-;-;-;-;-
230170;-;-;-;1;1;-;-;-;1;-;-;-
230185;-;-;1;-;-;-;-;-;-;-;-;-
230190;3;1;-;2;-;2;1;1;-;-;-;2
230195;-;-;-;-;-;-;-;-;-;1;-;-
230200;-;1;-;-;-;-;1;-;1;2;-;-
230205;-;2;-;-;-;-;-;-;-;-;-;-
230210;1;-;-;1;2;-;-;-;-;1;-;-
230220;-;-;-;-;-;-;-;1;-;-;-;-
230230;-;-;-;1;-;-;2;-;-;-;1;-
230240;-;-;-;-;-;-;-;1;-;-;2;-
230250;1;-;-;-;-;-;1;4;2;-;-;2
230260;1;-;-;-;1;1;-;-;1;1;1;-
230270;1;-;-;-;1;2;-;1;-;-;-;-
230280;-;-;-;1;1;-;-;-;1;1;-;1
230290;-;-;-;-;1;-;-;1;-;-;-;-
230300;-;-;-;-;-;-;-;-;-;-;1;1
230310;-;-;1;1;1;-;1;-;-;-;-;-
230320;-;1;1;-;1;1;1;-;-;2;-;1
230330;-;-;-;-;-;-;-;-;-;-;1;1
230340;-;-;2;-;1;-;-;-;-;-;-;-
230350;1;-;-;-;-;-;-;2;1;-;-;1
230360;-;-;-;1;-;-;-;1;-;-;-;1
230365;-;-;-;-;-;-;-;-;-;-;-;1
230370;6;3;2;2;4;5;2;-;1;-;3;2
230380;-;-;-;-;1;1;-;-;-;-;-;1
230390;-;1;-;1;1;-;1;-;-;-;1;1
230393;-;-;-;-;-;-;-;1;1;-;-;-
230395;1;-;-;1;1;-;-;-;-;-;-;-
230400;-;-;-;-;-;-;-;-;-;-;1;-
230410;-;-;1;-;-;-;2;3;2;-;-;1
230420;3;2;4;-;2;3;4;2;2;-;6;4
230423;-;-;-;1;1;-;-;-;-;-;-;-
230425;-;1;1;-;1;-;-;-;-;-;-;-
230426;-;-;1;-;-;1;-;-;-;-;-;-
230427;1;-;-;-;-;-;-;-;-;-;-;-
230428;1;-;1;-;1;1;-;-;-;-;-;2
230430;-;-;-;-;-;-;-;-;-;2;1;-
230435;-;-;1;-;1;-;-;-;1;-;1;-
230440;24;27;28;25;15;25;17;12;19;19;25;16
230445;-;1;-;-;-;-;-;-;-;-;-;-
230450;-;-;-;-;-;-;-;-;2;-;-;-
230460;-;-;1;-;-;-;-;-;-;-;-;-
230470;3;1;1;-;-;2;-;-;1;-;-;-
230480;-;-;-;-;1;-;-;-;-;-;-;-
230495;-;-;-;-;3;-;-;1;-;-;-;-
230500;-;1;2;-;1;2;-;-;1;1;-;3
230520;-;1;-;-;-;-;1;-;-;-;1;-
230523;1;1;-;1;1;1;-;1;1;1;-;-
230526;1;-;-;-;-;1;2;-;-;-;-;-
230530;-;-;-;-;-;-;1;-;-;1;-;1
230535;-;-;-;1;-;-;-;-;-;1;-;1
230540;1;1;-;1;-;-;1;1;1;1;1;1
230550;-;2;-;-;1;1;-;1;-;2;-;-
