Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230015;1;1;-;-;1;-;-;-;-;-;-;-
230050;-;-;-;1;-;-;1;-;-;-;-;-
230075;-;-;-;1;-;-;-;-;1;-;-;1
230100;-;1;1;-;-;-;-;1;-;1;-;-
230110;-;1;1;1;-;-;1;-;-;-;-;-
230120;-;-;1;-;-;-;-;-;1;-;-;-
230130;-;1;-;-;-;-;-;-;-;-;-;-
230140;-;-;-;-;-;-;-;-;-;1;-;-
230160;-;1;-;1;-;-;-;-;-;-;-;-
230170;-;-;1;-;-;-;-;-;-;-;-;-
230185;-;-;-;-;2;-;-;-;-;-;-;-
230190;1;-;-;-;1;-;1;1;1;-;-;1
230195;-;-;-;1;-;-;-;-;-;-;-;-
230205;-;-;-;-;-;-;-;-;-;-;-;1
230210;-;-;-;-;-;-;-;-;-;1;-;-
230220;1;1;1;-;-;-;-;1;-;-;1;-
230230;-;-;-;-;-;1;-;-;1;-;-;-
230240;-;1;-;-;-;-;-;-;-;-;-;-
230260;-;-;1;-;-;-;1;1;-;-;-;1
230270;-;-;-;-;1;-;-;-;1;-;1;-
230280;-;-;-;-;1;1;-;-;-;-;-;-
230290;-;-;-;-;-;-;-;-;-;-;1;-
230300;-;-;-;1;-;-;-;1;-;-;-;-
230320;-;-;-;-;1;-;-;-;-;-;-;-
230340;-;-;-;1;-;-;-;-;-;-;-;-
230350;1;1;-;-;-;-;-;-;-;-;-;-
230360;-;-;-;-;-;-;-;-;1;-;-;-
230370;-;-;1;-;2;3;2;4;-;-;-;2
230390;-;-;1;-;-;-;-;-;-;-;-;-
230400;1;-;-;-;-;-;-;-;-;-;-;1
230410;-;-;-;-;1;-;-;1;1;-;-;-
230420;1;1;-;-;1;1;-;-;-;-;-;-
230423;-;-;1;-;-;-;1;-;-;-;-;-
230425;-;1;-;-;-;-;-;-;-;-;-;-
230428;-;-;-;-;1;-;-;-;-;-;-;-
230430;-;-;-;-;-;-;-;-;-;1;-;-
230435;-;-;-;-;-;-;-;-;-;-;1;-
230440;6;9;10;12;11;12;9;10;12;11;11;10
230450;-;-;-;1;-;-;-;-;-;-;-;-
230470;-;1;-;-;1;1;-;1;-;1;-;-
230495;-;1;-;-;-;1;-;-;-;-;-;-
230500;-;-;1;-;-;-;-;-;-;-;1;-
230520;-;-;-;-;-;1;-;-;-;-;-;-
230523;1;-;-;-;-;1;-;1;-;-;1;-
230530;-;-;-;1;-;-;-;-;-;-;-;-
230533;-;-;-;1;-;-;-;-;-;-;-;-
230535;-;-;-;-;-;-;-;-;-;1;-;-
230540;1;-;1;-;-;-;-;-;-;-;-;-
230550;-;-;-;1;-;1;1;1;1;-;1;-
230580;-;-;1;-;1;-;-;-;-;-;-;-
230590;-;-;-;-;1;1;-;-;1;-;1;-
230610;-;-;-;1;-;-;-;-;-;-;-;-
230625;-;-;-;1;-;-;-;-;-;-;-;-
230630;-;-;-;-;-;1;-;-;-;-;-;-
230640;1;-;1;-;-;-;-;-;-;-;2;-
230650;-;-;-;-;1;-;-;-;-;-;-;-
