Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;1;-;1;-;-;-;-;1;-;-;-
230015;-;-;-;1;-;2;1;-;-;-;-;-
230020;-;1;1;1;1;4;4;1;4;4;3;-
230030;3;2;1;3;2;4;1;-;3;4;1;5
230040;-;-;-;-;-;1;2;-;1;-;2;1
230050;-;-;-;-;-;-;-;-;-;1;-;-
230060;-;-;-;-;2;1;-;-;1;1;-;-
230070;1;1;1;-;1;1;1;2;-;-;-;-
230075;2;2;1;1;-;1;1;-;2;1;-;-
230080;-;-;1;1;-;-;1;-;1;-;-;1
230100;1;-;2;2;-;1;1;2;1;1;1;1
230110;3;1;1;-;1;4;2;-;2;1;3;1
230120;2;1;2;1;2;-;1;2;1;4;2;1
230125;2;-;1;1;1;1;1;-;1;1;2;2
230130;1;-;-;-;-;1;-;-;1;-;1;1
230140;1;-;-;2;-;1;-;-;1;-;-;2
230160;1;1;2;3;3;2;2;3;1;5;2;1
230170;-;1;-;-;-;2;-;1;-;-;-;-
230180;-;-;1;-;-;-;1;-;-;-;-;-
230185;3;-;1;-;-;1;1;-;2;1;2;-
230190;2;-;-;-;-;1;-;-;2;-;2;-
230195;1;-;-;-;1;-;-;1;-;1;-;-
230200;1;2;-;2;-;-;-;-;-;-;1;3
230205;-;2;-;1;-;-;-;-;-;1;-;-
230210;-;-;1;-;2;-;-;1;-;2;4;1
230220;-;-;-;-;1;-;-;-;2;1;-;1
230230;1;-;-;-;-;1;-;1;-;1;-;3
230240;-;-;-;-;-;-;1;1;-;-;-;3
230250;-;-;-;-;-;1;-;-;-;-;-;1
230260;1;1;3;-;-;1;2;1;1;3;1;3
230270;3;6;3;8;1;1;6;1;1;10;1;1
230280;2;1;-;1;2;3;1;3;2;1;2;3
230290;1;-;3;1;1;1;-;-;1;-;1;-
230300;-;2;-;1;-;-;1;-;-;-;-;-
230310;-;3;-;-;3;-;1;-;-;3;2;5
230320;-;1;-;-;-;-;-;-;-;1;1;4
230330;-;-;-;-;-;-;-;-;-;-;1;1
230350;-;-;-;-;-;-;1;-;-;1;-;-
230360;-;-;-;-;-;1;-;-;-;-;1;-
230365;1;-;-;-;2;-;-;-;-;-;-;2
230370;-;1;-;-;3;1;1;2;-;3;3;2
230380;-;-;-;-;-;-;-;2;-;6;3;1
230390;1;-;1;-;2;-;3;1;-;1;-;1
230393;-;-;1;2;2;3;1;-;2;2;2;-
230395;-;-;1;1;-;-;1;-;-;-;-;-
230400;-;-;1;-;2;-;-;1;-;3;1;1
230410;-;1;4;1;1;3;2;2;-;1;2;2
230420;2;2;3;3;5;1;4;4;5;4;1;4
230423;-;-;-;-;-;-;-;-;-;-;1;2
230425;1;1;-;1;1;-;-;-;1;-;-;-
230426;-;-;-;-;-;-;-;1;-;1;-;-
230428;-;-;-;-;-;1;-;1;1;-;-;-
