Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
230010;-;-;2;-;-;1;-;-;-;-;-;-
230015;2;1;1;-;1;-;2;2;3;1;2;1
230020;3;4;3;-;3;6;4;6;2;1;-;5
230030;4;5;2;4;6;2;6;1;2;4;4;2
230040;1;-;3;2;3;1;-;1;-;1;-;2
230050;-;-;2;-;1;-;2;1;2;3;2;-
230060;1;-;-;1;-;-;-;2;-;-;2;-
230070;-;-;3;2;5;-;1;1;-;-;1;1
230075;2;3;2;2;8;2;-;5;4;4;1;2
230080;-;-;1;-;-;-;-;-;-;-;-;2
230090;-;-;1;-;-;-;-;1;-;1;-;-
230100;9;2;4;7;4;9;7;7;7;7;2;7
230110;5;3;4;2;5;6;4;4;2;2;1;3
230120;-;2;1;1;2;-;3;-;2;1;-;3
230125;1;1;-;-;-;-;3;1;1;-;1;1
230130;4;1;2;1;3;4;-;3;1;-;-;4
230140;1;2;3;-;1;2;1;2;3;-;-;-
230150;-;-;-;-;-;-;1;-;1;2;1;1
230160;-;1;1;2;1;3;1;1;3;4;3;-
230170;2;-;-;3;-;-;-;-;1;4;-;2
230180;-;1;1;-;1;-;1;1;-;-;-;3
230185;2;3;1;1;1;3;-;-;-;1;1;-
230190;6;5;7;4;2;4;7;6;4;4;1;5
230195;1;2;1;1;1;3;1;2;3;3;-;2
230200;5;2;1;1;1;2;2;-;1;-;2;3
230205;1;1;-;1;-;1;-;-;-;2;-;1
230210;1;4;4;-;2;1;2;2;1;3;2;4
230220;1;1;2;3;7;7;3;3;4;-;1;3
230230;1;1;4;-;1;9;3;1;-;-;3;1
230240;3;6;3;4;1;2;7;1;5;3;3;9
230250;2;2;7;1;-;1;4;3;5;1;3;3
230260;5;3;8;3;2;4;4;-;3;3;2;1
230270;3;2;3;4;1;1;1;2;1;2;2;-
230280;4;2;7;4;7;5;5;4;4;13;4;5
230290;2;1;1;1;1;1;1;2;-;1;-;-
230300;-;-;2;2;1;2;3;2;2;4;-;1
230310;-;-;1;-;1;1;2;-;-;3;-;2
230320;1;-;2;1;-;2;5;1;1;2;1;-
230330;3;-;1;2;2;-;-;-;2;-;1;5
230340;1;2;-;-;-;-;-;-;1;2;1;1
230350;7;7;4;-;4;3;5;4;3;6;4;3
230360;-;-;2;-;-;2;2;-;-;-;-;-
230365;-;-;-;-;-;-;-;-;1;-;1;-
230370;35;24;21;23;28;24;26;24;17;24;24;38
230380;2;2;3;3;3;1;1;2;2;3;2;3
230390;-;-;1;-;-;-;1;-;1;1;-;2
230393;1;-;1;2;-;2;-;1;-;-;-;1
230395;3;2;-;-;1;1;1;4;1;2;-;-
230400;1;-;1;-;1;3;1;-;1;1;2;3
230410;6;6;5;3;5;1;7;7;4;3;3;4
230420;7;3;6;6;6;5;6;13;9;5;9;8
230423;1;3;2;-;1;1;1;3;-;4;-;2
230425;2;2;1;2;1;1;1;2;1;2;3;1
230426;2;-;2;1;1;-;1;-;-;2;-;-
230427;-;1;-;-;-;-;-;-;-;-;1;1
230428;7;1;6;2;3;3;1;4;3;6;2;5
230430;2;3;1;1;-;2;2;1;-;1;-;1
230435;-;2;-;1;1;3;5;-;2;2;-;1
